EX201
Date:,2025/01/17
Time:,10:52:17
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,ANK_R_X,ANK_R_Y,ANK_R_Z,HIP_R_X,HIP_R_Y,HIP_R_Z,ANK_L_X,ANK_L_Y,ANK_L_Z,HIP_L_X,HIP_L_Y,HIP_L_Z,HEA_R_X,HEA_R_Y,HEA_R_Z,HAN_R_X,HAN_R_Y,HAN_R_Z,HEA_L_X,HEA_L_Y,HEA_L_Z,HAN_L_X,HAN_L_Y,HAN_L_Z
1050,624.296265,608.159485,-3.010892,226.335159,625.238525,342.810760,622.212891,284.892609,7.767919,230.294617,250.762848,361.263306,-425.096466,516.974304,491.217651,-350.616394,633.415955,-44.161140,-418.226379,372.729980,492.141449,-350.702271,236.023560,-43.342930
1051,624.365723,608.254578,-3.088994,226.162521,624.968201,342.800629,622.210205,285.057251,7.847969,229.911072,250.340057,361.140839,-425.192505,516.448364,490.904510,-350.645203,633.358459,-44.133904,-418.530792,372.175262,491.771606,-350.711334,236.021866,-43.353874
1052,624.356445,608.311462,-3.166310,226.037750,624.716064,342.897919,622.267822,285.193085,7.875659,229.676910,249.939667,361.180389,-425.336182,516.068542,490.666443,-350.633728,633.319153,-44.112793,-418.673248,371.888123,491.556671,-350.707733,236.007309,-43.335094
1053,624.415283,608.376038,-3.231793,225.885086,624.551697,342.906982,622.315857,285.315521,7.922633,229.520065,249.739548,361.219818,-425.536987,515.739746,490.516052,-350.638275,633.297241,-44.112785,-418.689423,371.690918,491.551147,-350.702545,236.023804,-43.343086
1054,624.378723,608.452820,-3.317287,225.672928,624.377014,342.933624,622.349243,285.406799,7.934059,229.418808,249.627487,361.214264,-425.753723,515.495422,490.409058,-350.667053,633.280579,-44.062401,-418.835876,371.348541,491.568115,-350.731995,236.067444,-43.377041
1055,624.377502,608.542419,-3.408399,225.527756,624.137939,342.876312,622.417480,285.519989,7.970428,229.296478,249.548859,361.179352,-426.062073,515.327209,490.401703,-350.656891,633.252075,-44.123165,-418.940125,371.105988,491.611023,-350.740112,236.127274,-43.405067
1056,624.375305,608.559082,-3.468545,225.463120,623.990601,342.893280,622.456604,285.636261,7.862805,229.191696,249.389893,361.148224,-426.265411,515.170105,490.376556,-350.674622,633.182861,-44.062416,-419.122406,370.855133,491.587524,-350.738403,236.157272,-43.383179
1057,624.453552,608.573181,-3.520160,225.408875,623.810364,342.902344,622.487854,285.737457,7.840105,229.020065,249.217239,361.056305,-426.410553,515.016052,490.371338,-350.668060,633.121033,-44.039814,-419.250793,370.600952,491.564667,-350.722443,236.168304,-43.368637
1058,624.402832,608.635071,-3.534322,225.230499,623.683960,342.888153,622.534119,285.829071,7.772359,228.838074,249.106812,360.982056,-426.566345,514.815369,490.232635,-350.666351,633.098877,-44.053894,-419.365845,370.433258,491.449646,-350.720886,236.217117,-43.375763
1059,624.347351,608.608948,-3.637011,225.074585,623.574585,342.861694,622.597290,285.943726,7.715330,228.698837,249.078720,360.836060,-426.721405,514.720520,490.136444,-350.659698,633.109619,-44.058178,-419.531250,370.289368,491.196045,-350.729706,236.293488,-43.361286
1060,624.345825,608.570862,-3.658495,224.960922,623.456360,342.908569,622.598572,285.946259,7.713542,228.610840,248.967606,360.796417,-426.898987,514.595764,490.077667,-350.622681,633.106934,-44.088058,-419.715698,370.224823,490.913177,-350.705994,236.302765,-43.354717
1061,624.412048,608.513550,-3.612423,224.902100,623.317688,342.873230,622.614563,285.989929,7.703934,228.533325,248.902939,360.780426,-427.002686,514.402954,489.964752,-350.631409,633.117859,-44.053078,-420.035126,370.073395,490.763611,-350.685089,236.394043,-43.352287
1062,624.414246,608.476196,-3.564813,224.806046,623.261230,342.870239,622.641296,286.037292,7.734989,228.477631,248.879089,360.750885,-427.214569,514.263245,489.885986,-350.625580,633.103394,-44.034176,-420.468994,369.898224,490.652222,-350.658508,236.547195,-43.278030
1063,624.385559,608.414917,-3.601682,224.702759,623.235840,342.853333,622.671509,286.133301,7.713983,228.487656,248.849777,360.707275,-427.613922,514.197388,489.829224,-350.638153,633.123779,-44.065208,-420.952209,369.750702,490.526093,-350.690094,236.729813,-43.209190
1064,624.347107,608.416016,-3.541466,224.628036,623.216003,342.884094,622.658569,286.202606,7.762176,228.425552,248.808472,360.716461,-427.976318,514.156189,489.683472,-350.610077,633.121155,-44.053295,-421.268982,369.704895,490.422821,-350.666412,236.787445,-43.237877
1065,624.412170,608.326904,-3.507671,224.633743,623.239990,342.896912,622.743408,286.292114,7.825213,228.433929,248.815414,360.702393,-428.256470,513.997009,489.453735,-350.598236,633.079590,-44.037388,-421.454895,369.780090,490.150818,-350.650543,236.706635,-43.212345
1066,624.466980,608.221985,-3.453133,224.536179,623.272461,342.847717,622.776123,286.440796,7.836874,228.436890,248.827713,360.694550,-428.569550,513.920227,489.256470,-350.574707,633.065063,-43.991146,-421.595856,369.775665,489.935059,-350.658295,236.729721,-43.219631
1067,624.485291,608.210388,-3.362769,224.442917,623.340820,342.839844,622.788086,286.639282,7.841448,228.435410,248.817322,360.700775,-428.819946,513.832703,488.927185,-350.609436,633.036743,-44.011036,-421.732758,369.739105,489.800995,-350.662964,236.743088,-43.155006
1068,624.495422,608.162170,-3.338547,224.296661,623.436096,342.830658,622.816406,286.849518,7.837516,228.399765,248.813812,360.677979,-429.142761,513.847229,488.721344,-350.614288,633.009766,-43.955566,-421.924957,369.780334,489.575775,-350.679077,236.751953,-43.158653
1069,624.567383,608.102844,-3.281354,224.259613,623.522949,342.803680,622.832214,287.075775,7.782975,228.380661,248.828537,360.652252,-429.300110,513.755554,488.504578,-350.587036,632.998413,-43.945930,-422.095978,369.860077,489.378387,-350.651245,236.753326,-43.192326
1070,624.613281,608.065125,-3.261774,224.131958,623.686707,342.799072,622.844604,287.297485,7.731940,228.346390,248.797729,360.670898,-429.649872,513.635315,488.376770,-350.597382,632.958984,-43.940029,-422.266083,369.898499,489.228333,-350.636536,236.771912,-43.211765
1071,624.644104,608.005066,-3.216748,224.008591,623.770264,342.729767,622.897034,287.508881,7.654056,228.336288,248.879395,360.659943,-429.964203,513.591003,488.399963,-350.566498,632.963440,-43.929501,-422.467834,369.897430,489.177338,-350.645935,236.806396,-43.222507
1072,624.680786,607.977112,-3.159660,223.794907,623.916016,342.635620,622.914368,287.686066,7.562011,228.302765,248.913620,360.686829,-430.472168,513.632385,488.511597,-350.573059,632.969666,-43.914082,-422.809479,369.848145,489.195740,-350.684204,236.872742,-43.184692
1073,624.751099,607.860840,-3.249343,223.633377,623.987122,342.608459,622.963501,287.838165,7.499079,228.254364,248.925278,360.683289,-430.914307,513.636658,488.697052,-350.550964,632.929871,-43.913033,-423.259064,369.809326,489.344696,-350.660309,236.942520,-43.164780
1074,624.837158,607.843018,-3.227631,223.470505,624.055969,342.503357,622.980469,287.981873,7.369245,228.186081,248.951080,360.719269,-431.279053,513.757996,488.893707,-350.566132,632.839783,-43.870808,-423.621979,369.732025,489.573334,-350.680176,236.948761,-43.137032
1075,624.898193,607.811646,-3.293079,223.247391,624.221985,342.529999,623.048279,288.104034,7.354053,228.121719,249.092499,360.690582,-431.686310,513.936523,489.116394,-350.542755,632.811035,-43.821789,-424.032349,369.668365,489.760345,-350.700134,237.032120,-43.129639
1076,624.930603,607.789917,-3.297658,223.041077,624.340515,342.517212,623.058960,288.201599,7.433473,228.008591,249.263443,360.641052,-431.961487,514.034790,489.420135,-350.542816,632.865051,-43.860508,-424.569733,369.573822,490.241241,-350.698425,237.088303,-43.116238
1077,625.003906,607.733337,-3.373514,222.844330,624.503906,342.569611,623.160645,288.332184,7.401421,227.912277,249.347336,360.660004,-432.317596,514.032104,489.766693,-350.499512,632.870422,-43.834034,-424.877502,369.493103,490.579803,-350.669037,237.106903,-43.142071
1078,625.005493,607.730530,-3.377777,222.588425,624.610168,342.573090,623.224060,288.488434,7.427476,227.772766,249.495468,360.605591,-432.800079,514.020386,490.324554,-350.472351,632.929016,-43.811218,-424.918091,369.547180,490.624084,-350.728546,237.180862,-43.138981
1079,625.020630,607.740906,-3.405737,222.401978,624.723938,342.578827,623.360718,288.654633,7.357442,227.686523,249.606903,360.592651,-433.317535,514.006165,490.937256,-350.447083,633.004883,-43.861038,-425.122070,369.594330,490.996796,-350.760773,237.283081,-43.158943
1080,625.036377,607.747559,-3.375985,222.147659,624.799866,342.618713,623.530762,288.889801,7.380429,227.568436,249.737976,360.539093,-433.801666,514.145752,491.695404,-350.488129,633.019287,-43.868725,-425.671143,369.559174,491.787262,-350.777649,237.355087,-43.111210
1081,625.108337,607.782959,-3.337836,221.977127,624.864014,342.579926,623.712524,289.110077,7.373839,227.403320,249.797134,360.498901,-433.985992,514.153687,492.420288,-350.474854,632.975281,-43.852646,-426.191864,369.655975,492.670502,-350.807404,237.497116,-43.134289
1082,625.161133,607.772766,-3.365265,221.778061,624.842224,342.555908,623.846924,289.313965,7.373359,227.319885,249.822067,360.488190,-434.334290,514.323486,493.352234,-350.492554,632.931946,-43.804138,-426.355682,369.950409,493.458496,-350.818329,237.562119,-43.120693
1083,625.133728,607.814941,-3.354882,221.553238,624.926453,342.542725,623.985840,289.532288,7.273708,227.205154,249.852997,360.492157,-434.996948,514.388489,494.510986,-350.491394,632.924866,-43.862961,-426.805237,370.114685,494.354431,-350.854279,237.643265,-43.137859
1084,625.151184,607.856262,-3.428955,221.235291,624.991699,342.548096,624.052246,289.628723,7.332978,227.067856,249.818695,360.547485,-435.691589,514.342896,495.409485,-350.517090,632.941223,-43.877014,-426.963043,370.163025,494.743134,-350.872467,237.683990,-43.128296
1085,625.204285,607.856323,-3.446199,221.014145,625.060852,342.588379,624.155457,289.820007,7.233824,226.903397,249.855698,360.601898,-436.300171,514.346191,496.267181,-350.509186,632.966736,-43.821449,-427.645447,370.085266,495.765869,-350.875824,237.729645,-43.132923
1086,625.247131,607.858459,-3.432003,220.783295,625.119812,342.687622,624.314209,290.059845,7.051173,226.630981,249.854614,360.713806,-436.796356,514.380615,497.190704,-350.520233,632.978149,-43.816849,-428.311279,369.920776,496.676453,-350.911682,237.764984,-43.100403
1087,625.217346,607.918579,-3.476117,220.405212,625.254028,342.657562,624.467102,290.213531,6.830042,226.219650,250.013062,360.752258,-437.230530,514.285461,498.093262,-350.522156,633.063843,-43.891144,-428.707031,370.041840,497.356812,-350.932648,237.838989,-43.103718
1088,625.245972,607.963501,-3.520024,219.953812,625.304626,342.578735,624.625549,290.354523,6.645106,225.788177,250.050797,360.722321,-437.741028,514.154724,499.030334,-350.527130,633.130310,-43.898193,-429.464996,370.147644,498.398071,-350.953979,237.863312,-43.109348
