EX104
Date:,2025/01/17
Time:,12:08:01
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,HIP_R_X,HIP_R_Y,HIP_R_Z,ILIAC_R_X,ILIAC_R_Y,ILIAC_R_Z,ILIAC_L_X,ILIAC_L_Y,ILIAC_L_Z,HIP_L_X,HIP_L_Y,HIP_L_Z
1064,-206.723114,473.345001,427.191498,-245.362213,385.648865,510.383331,-242.381332,146.029755,503.428619,-186.429306,63.219170,427.168274
1065,-206.673676,473.292847,427.164368,-245.147720,385.658356,510.422028,-242.046265,146.053833,503.357086,-186.366791,63.282497,427.111542
1066,-206.620468,473.287323,427.112762,-245.001160,385.669800,510.436066,-241.763779,146.013977,503.295624,-186.323288,63.318554,427.039948
1067,-206.630646,473.241608,427.075226,-244.857193,385.624664,510.479828,-241.508392,145.991211,503.299927,-186.300461,63.388573,426.982300
1068,-206.594162,473.172394,427.016602,-244.439026,385.424988,510.280243,-241.263046,145.957855,503.238739,-186.259705,63.453857,426.906372
1069,-206.586151,473.166748,426.925873,-244.235657,385.523651,510.584625,-241.053574,145.909393,503.212585,-186.213638,63.481152,426.851746
1070,-206.617218,473.095612,426.884552,-243.983826,385.511963,510.605652,-240.866974,145.851563,503.179840,-186.128983,63.525024,426.798950
1071,-206.561874,473.074310,426.833344,-243.692459,385.542114,510.617462,-240.727509,145.764374,503.188171,-186.082291,63.552197,426.744965
1072,-206.553360,473.024567,426.785614,-243.372330,385.553314,510.578186,-240.541611,145.724915,503.165649,-186.037491,63.578285,426.691956
1073,-206.589264,473.041992,426.778412,-243.127197,385.570892,510.516327,-240.399292,145.688629,503.158691,-185.946182,63.613312,426.622284
1074,-206.543976,473.036316,426.702362,-242.898743,385.581573,510.473785,-240.287720,145.694016,503.153900,-185.931702,63.595947,426.623779
1075,-206.449585,472.986359,426.682678,-242.709137,385.560120,510.552765,-240.210846,145.665192,503.188385,-185.839966,63.640938,426.543396
1076,-206.416870,472.990479,426.670624,-242.453979,385.505554,510.549561,-240.091202,145.680328,503.187103,-185.748611,63.711418,426.459900
1077,-206.393005,472.965729,426.629089,-242.035675,385.662933,510.726990,-239.912140,145.712769,503.131134,-185.673996,63.721687,426.413086
1078,-206.326309,472.987152,426.607422,-242.042603,385.546417,510.582520,-239.800354,145.751205,503.067383,-185.630676,63.718128,426.422821
1079,-206.232300,472.984772,426.546967,-241.877335,385.529907,510.591156,-239.697372,145.756592,503.084106,-185.593338,63.715382,426.393372
1080,-206.158539,472.965790,426.540802,-241.570633,385.613647,510.766113,-239.581650,145.782288,503.037231,-185.548874,63.730007,426.362732
1081,-206.117783,473.009796,426.629974,-241.534683,385.701294,510.904633,-239.503235,145.821976,503.043610,-185.507950,63.728321,426.351227
1082,-206.121841,473.024658,426.637177,-241.450150,385.706451,510.924438,-239.423172,145.819916,503.034821,-185.493652,63.703224,426.368591
1083,-206.069656,473.004089,426.582153,-241.344925,385.710571,510.976501,-239.397247,145.837646,503.039337,-185.453873,63.699280,426.359283
1084,-206.015610,472.994965,426.616272,-241.325516,385.671478,511.103302,-239.355164,145.817139,503.071716,-185.452682,63.700039,426.358093
1085,-206.016342,473.002014,426.732239,-241.257050,385.700562,511.168396,-239.405212,145.792053,503.093109,-185.467331,63.698803,426.337158
1086,-206.026428,473.015656,426.713379,-241.173859,385.671326,511.121277,-239.450989,145.781296,503.091827,-185.508026,63.654469,426.331970
1087,-206.036499,472.997101,426.680084,-241.153168,385.657043,511.110657,-239.522003,145.760666,503.083679,-185.515335,63.641930,426.339111
1088,-206.007416,472.983063,426.696228,-241.203094,385.657928,511.200897,-239.652878,145.708572,503.105194,-185.553299,63.591610,426.347656
1089,-206.041855,472.999725,426.769226,-241.267044,385.649353,511.241333,-239.754852,145.637207,503.099701,-185.612732,63.508965,426.282501
1090,-206.050919,472.967407,426.794983,-241.266815,385.492126,511.047974,-239.867477,145.597305,503.035370,-185.660446,63.452801,426.281921
1091,-206.096634,472.931213,426.772217,-241.299606,385.431885,511.012115,-240.027344,145.580032,502.984833,-185.722748,63.386456,426.280609
1092,-206.075470,472.885071,426.748779,-241.399567,385.328583,511.027039,-240.135681,145.532806,502.994781,-185.782806,63.377026,426.234009
1093,-206.102081,472.860382,426.810150,-241.439880,385.428314,511.246155,-240.220093,145.481476,503.019196,-185.805054,63.351189,426.193115
1094,-206.172256,472.891205,426.901917,-241.536392,385.427826,511.261047,-240.372482,145.473587,503.000610,-185.877594,63.307289,426.133270
1095,-206.199051,472.918396,426.946991,-241.562866,385.343933,511.175476,-240.536362,145.461639,502.937805,-185.921265,63.286751,426.084900
1096,-206.194229,472.893890,426.966003,-241.649857,385.289032,511.157196,-240.669250,145.462677,502.864288,-185.980026,63.183510,426.029938
1097,-206.203705,472.911804,427.001373,-241.761169,385.226471,511.147797,-240.831375,145.418091,502.722687,-185.998230,63.077267,425.987427
1098,-206.240860,472.973969,427.091888,-242.034332,385.087952,510.921509,-241.062241,145.324280,502.625519,-186.011780,63.020222,425.964447
1099,-206.305099,473.045288,427.192657,-242.126343,385.241211,511.068146,-241.324753,145.284805,502.472107,-186.003860,63.050339,425.931519
1100,-206.353500,473.011932,427.173676,-242.638916,385.084198,510.860718,-241.621063,145.214813,502.398407,-186.044159,62.980686,425.885040
1101,-206.337601,473.031036,427.226929,-242.991974,385.051971,510.907501,-242.012558,145.161331,502.410004,-186.091629,62.933659,425.863312
1102,-206.434418,473.080566,427.330841,-243.422562,385.041107,511.005981,-242.450867,145.099945,502.444489,-186.136490,62.911034,425.891632
1103,-206.535110,473.182770,427.426727,-243.863480,385.068329,511.059937,-242.886749,145.048889,502.420074,-186.243164,62.843540,425.939545
1104,-206.591965,473.205292,427.482910,-244.180176,385.092834,511.017822,-243.346771,144.956467,502.415161,-186.413620,62.692890,426.018585
1105,-206.617111,473.265503,427.507050,-244.485153,385.129181,511.014984,-243.883255,144.855927,502.285919,-186.600403,62.564220,426.155243
1106,-206.725342,473.300873,427.582581,-244.800491,385.040680,510.740448,-244.237457,144.839600,502.123871,-186.831924,62.448486,426.253937
1107,-206.904663,473.393402,427.671844,-245.507034,385.232330,510.922668,-244.683594,144.847382,502.053772,-187.159241,62.291798,426.347931
1108,-207.041245,473.475494,427.773132,-245.947266,385.123291,510.966431,-245.265488,144.801849,502.099976,-187.550583,62.137794,426.326630
1109,-207.171844,473.515869,427.831512,-246.620132,385.020203,510.983673,-245.819626,144.739319,502.113403,-187.887115,62.124989,426.270233
1110,-207.322327,473.557373,427.897614,-247.199692,385.090271,511.063202,-246.432114,144.685974,502.230469,-188.123123,62.079910,426.247498
1111,-207.496933,473.625488,428.005676,-247.684219,385.117371,511.032990,-247.023331,144.612045,502.177063,-188.443375,61.921684,426.030548
1112,-207.604706,473.756653,428.138550,-248.308228,385.058868,510.952148,-247.891479,144.638153,502.111572,-188.597977,61.856224,426.137848
