EX202
Date:,2025/01/17
Time:,11:00:53
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,ANK_R_X,ANK_R_Y,ANK_R_Z,HIP_R_X,HIP_R_Y,HIP_R_Z,ANK_L_X,ANK_L_Y,ANK_L_Z,HIP_L_X,HIP_L_Y,HIP_L_Z,HEA_R_X,HEA_R_Y,HEA_R_Z,HAN_R_X,HAN_R_Y,HAN_R_Z,HEA_L_X,HEA_L_Y,HEA_L_Z,HAN_L_X,HAN_L_Y,HAN_L_Z
1029,523.448730,621.849182,2.567129,154.812195,631.285889,340.010193,534.818298,312.664307,8.855494,179.618027,254.900803,360.145599,-491.975891,506.353455,515.449036,-340.732269,622.244141,-44.732262,-479.553040,362.371277,511.812103,-340.364105,237.173309,-44.290169
1030,523.427856,621.859009,2.597808,154.654602,631.303833,340.032593,534.736023,312.849762,8.898792,179.710083,254.961288,360.135406,-492.000671,506.208282,515.557495,-340.696747,622.244141,-44.744225,-479.576447,362.258911,511.836975,-340.351410,237.162354,-44.293762
1031,523.433655,621.780579,2.562970,154.486176,631.276367,340.015198,534.673523,313.039154,8.885667,179.800720,255.070740,360.084564,-492.019348,506.010132,515.643005,-340.685883,622.234497,-44.748573,-479.639648,362.581482,511.640228,-340.351196,237.162262,-44.293442
1032,523.439392,621.781311,2.559787,154.356430,631.283752,340.028259,534.638733,313.238129,8.872416,179.891479,255.118805,360.026123,-492.033325,505.887909,515.654175,-340.696381,622.244873,-44.744026,-479.648224,362.465179,511.640411,-340.359528,237.168732,-44.274944
1033,523.460388,621.772278,2.530192,154.238678,631.312378,340.013428,534.604675,313.466339,8.884128,179.950760,255.148132,359.963074,-492.083344,505.655640,515.664917,-340.696289,622.244812,-44.744312,-479.646484,362.298248,511.578766,-340.397919,237.183029,-44.313541
1034,523.523682,621.774414,2.545313,154.126846,631.310181,339.995850,534.544312,313.711792,8.955291,179.961548,255.190857,359.920380,-492.097534,505.501129,515.578613,-340.696167,622.244690,-44.744404,-479.717529,362.056183,511.630829,-340.405487,237.193954,-44.298000
1035,523.456116,621.843933,2.626419,154.013397,631.331665,340.018280,534.472351,313.882111,9.077386,179.938446,255.221207,359.880646,-492.111542,505.281006,515.528564,-340.696167,622.244690,-44.744404,-479.808868,361.856506,511.676697,-340.396393,237.185898,-44.316399
1036,523.429749,621.888550,2.738325,153.926254,631.343140,339.986786,534.424805,314.065491,9.118278,179.921890,255.234116,359.893036,-492.095703,505.078674,515.640381,-340.715027,622.235779,-44.721088,-479.790833,361.409210,511.909393,-340.386078,237.173904,-44.319374
1037,523.419434,621.945923,2.728015,153.873047,631.407532,340.034088,534.396667,314.261536,9.175815,179.881897,255.227692,359.869965,-492.125427,505.005035,515.655029,-340.729584,622.248596,-44.716381,-479.845398,361.276093,511.902405,-340.354156,237.161407,-44.364998
1038,523.460815,621.990967,2.786942,153.825409,631.453796,340.072510,534.373108,314.320587,9.223942,179.841324,255.246109,359.854614,-492.215118,504.857513,515.493225,-340.724640,622.201721,-44.753918,-479.922150,361.137482,511.894470,-340.369598,237.153946,-44.342819
1039,523.459412,621.991760,2.787141,153.857544,631.480652,340.087738,534.312561,314.371735,9.250512,179.760880,255.228439,359.811737,-492.312836,504.716614,515.471985,-340.722321,622.196777,-44.736500,-480.048615,361.013062,511.832092,-340.349091,237.128601,-44.383888
1040,523.489319,622.005249,2.771725,153.847336,631.515259,340.071686,534.299683,314.415436,9.260312,179.706711,255.227936,359.842194,-492.428772,504.576935,515.428284,-340.750214,622.166687,-44.726345,-480.099976,360.908905,511.833984,-340.365143,237.152191,-44.379391
1041,523.529907,622.031677,2.663369,153.841324,631.507751,340.017426,534.397400,314.418762,9.177433,179.632141,255.220764,359.823181,-492.556915,504.437378,515.482239,-340.750793,622.166138,-44.726143,-480.142914,360.846619,511.781860,-340.344482,237.146729,-44.383846
1042,523.573853,621.992920,2.656339,153.858536,631.495239,339.986664,534.440063,314.358124,9.127221,179.562027,255.239197,359.827393,-492.618835,504.299805,515.398438,-340.736420,622.153320,-44.730331,-480.134308,360.743744,511.641632,-340.372925,237.149536,-44.357941
1043,523.616821,622.024963,2.643126,153.818237,631.567627,339.992340,534.464844,314.265472,9.096850,179.464752,255.252228,359.863617,-492.685150,504.218018,515.360046,-340.750214,622.166199,-44.726524,-480.204010,360.774719,511.462097,-340.377625,237.118988,-44.333149
1044,523.556763,622.056091,2.676650,153.799347,631.651794,339.990753,534.434937,314.137695,9.102990,179.405807,255.205734,359.947754,-492.812103,504.196289,515.360535,-340.760895,622.158447,-44.743023,-480.151428,360.645233,511.557373,-340.382751,237.133423,-44.388149
1045,523.512756,622.047363,2.726575,153.784927,631.684387,339.970947,534.410156,314.009827,9.059163,179.269562,255.216751,359.991364,-492.901794,504.161774,515.378174,-340.782715,622.131348,-44.755100,-480.166168,360.589752,511.552948,-340.367615,237.126816,-44.428104
1046,523.554382,621.980774,2.824562,153.739426,631.773010,340.030670,534.429443,313.922150,8.974451,179.240128,255.248322,360.094299,-492.932129,504.045746,515.265137,-340.758423,622.160095,-44.729259,-480.162689,360.523865,511.520355,-340.374176,237.090302,-44.385658
1047,523.591797,621.925598,2.810031,153.786621,631.815796,340.038574,534.501221,313.820160,8.900971,179.164124,255.239059,360.128845,-493.083618,503.982117,515.339783,-340.707977,622.153015,-44.719879,-480.155457,360.506866,511.471771,-340.373444,237.077454,-44.367725
1048,523.588257,621.851746,2.838778,153.739807,631.874146,340.014099,534.494385,313.675781,8.807409,179.095978,255.249451,360.177216,-493.175293,503.985260,515.278076,-340.715302,622.182007,-44.717751,-480.246887,360.367401,511.498474,-340.400177,237.102524,-44.362236
1049,523.619812,621.753235,2.808703,153.635071,631.870789,339.899078,534.546570,313.610016,8.690534,179.050339,255.285858,360.171661,-493.385864,503.976929,515.345337,-340.715881,622.182556,-44.717651,-480.252991,360.367188,511.481750,-340.410797,237.090714,-44.375126
1050,523.710510,621.579102,2.765632,153.605469,631.919250,339.914398,534.523926,313.518219,8.525123,178.977615,255.308472,360.210571,-493.445740,503.948914,515.319031,-340.678619,622.171936,-44.713451,-480.302948,360.340363,511.494263,-340.393158,237.067764,-44.396843
1051,523.760132,621.489929,2.885991,153.572922,631.982666,339.943726,534.544983,313.456940,8.451814,178.906113,255.365540,360.244415,-493.526276,503.976288,515.323914,-340.672546,622.161804,-44.716110,-480.311859,360.343231,511.462830,-340.391449,237.034271,-44.374870
1052,523.694275,621.347290,2.967208,153.501450,632.029663,339.899170,534.495056,313.356079,8.484589,178.807205,255.391373,360.254486,-493.635101,504.025177,515.288757,-340.640411,622.183411,-44.726933,-480.361633,360.391968,511.497437,-340.420837,237.049210,-44.369041
1053,523.628845,621.251953,3.003852,153.397781,632.107727,339.921265,534.457947,313.313293,8.440434,178.730774,255.398987,360.284180,-493.782532,504.050629,515.284363,-340.697479,622.208740,-44.693466,-480.360962,360.399231,511.520966,-340.425201,237.045868,-44.406509
1054,523.715759,621.133240,3.110399,153.401184,632.149841,339.876831,534.395447,313.264771,8.377552,178.647675,255.452530,360.304504,-493.864868,504.115387,515.244995,-340.649567,622.226318,-44.704670,-480.416351,360.398773,511.534546,-340.411438,237.019745,-44.396397
1055,523.777222,621.033752,3.162826,153.373871,632.200256,339.848083,534.360657,313.246704,8.271724,178.598038,255.485550,360.340942,-493.901550,504.138092,515.228882,-340.576050,622.246826,-44.695030,-480.412109,360.443115,511.545410,-340.395111,237.014313,-44.397869
1056,523.750000,620.953918,3.220734,153.340042,632.244995,339.803680,534.351929,313.243835,8.210107,178.588394,255.577744,360.351013,-494.039734,504.204163,515.167480,-340.583282,622.276367,-44.692478,-480.444733,360.534698,511.505585,-340.391541,237.033890,-44.374546
1057,523.782166,620.856812,3.248821,153.344559,632.325378,339.729706,534.327942,313.225769,8.195732,178.566528,255.604813,360.367432,-494.155212,504.316071,515.045776,-340.605225,622.294373,-44.666233,-480.455383,360.575226,511.468231,-340.444092,237.053192,-44.361252
