EX402
Date:,2025/01/17
Time:,11:16:56
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,HEAD_X,HEAD_Y,HEAD_Z,PELVIS_X,PELVIS_Y,PELVIS_Z
1040,-376.487671,173.937439,451.881165,58.832741,394.965851,111.754974
1041,-374.106689,173.443237,452.958679,59.515686,395.595917,111.673050
1042,-371.051453,172.774780,453.899445,60.753574,397.090149,111.420753
1043,-368.319397,171.827515,455.181824,61.469658,397.430023,111.513603
1044,-365.502960,171.491913,455.829529,62.404587,398.667450,111.707939
1045,-362.349976,170.544586,457.189209,63.128586,399.521423,111.569466
1046,-359.351379,169.776871,458.430389,63.561970,400.451263,111.223572
1047,-356.548828,169.017944,459.522369,64.354919,401.453400,111.086990
1048,-353.112579,168.379166,460.984589,65.207954,402.099945,111.104385
1049,-350.129669,167.264053,462.243317,65.767212,402.453735,111.465691
1050,-346.717682,166.483810,463.604431,66.545639,402.687012,111.625793
1051,-343.770966,165.797867,464.763458,67.068741,403.181335,111.621208
1052,-340.771027,164.844101,466.154175,67.417381,403.795563,111.227333
1053,-337.710632,163.928665,467.894287,67.884544,404.233704,111.098663
1054,-334.866516,163.235657,469.313324,68.300743,404.339600,111.180397
1055,-331.362427,162.913330,471.112244,68.792892,404.283051,111.208878
1056,-328.440338,161.927658,472.666931,69.151421,404.140137,111.345467
1057,-325.246948,161.875763,474.244598,69.521057,404.074158,111.485748
1058,-322.531525,161.573746,475.996765,69.890724,404.019775,111.488144
1059,-320.129639,161.524536,477.092255,70.204277,404.054047,111.249107
1060,-317.895325,161.354324,478.504211,70.544464,403.931610,110.986259
1061,-316.497803,161.316544,479.685303,70.786240,403.740173,110.836823
1062,-315.375397,161.099075,480.626923,70.856728,403.445038,110.799728
1063,-314.536102,160.964935,481.377960,70.930931,402.918854,110.810104
1064,-314.267487,160.774719,481.917786,71.081146,402.350983,110.836777
1065,-314.329895,160.630539,482.360535,71.279533,401.787811,110.942543
1066,-314.764801,160.539810,482.628723,71.172859,401.347076,110.790543
1067,-315.380035,160.395935,482.920349,70.859634,401.046173,110.604286
1068,-316.325958,160.113480,483.512848,70.388123,400.504181,110.354668
1069,-317.139801,159.591599,484.408539,69.959106,399.976105,110.419106
1070,-317.932739,159.464996,485.114410,69.487640,399.687012,110.526718
1071,-319.144073,158.899139,486.372192,69.109581,399.421692,110.705467
1072,-319.856384,158.378174,487.551514,68.552055,399.437622,111.147400
1073,-320.688629,158.055634,488.665833,67.977112,399.247406,111.557823
1074,-321.892517,157.225143,489.423798,67.410728,399.209778,111.809418
1075,-322.500092,156.924194,489.880371,66.948128,399.317810,111.745132
1076,-323.563751,156.208725,490.081024,66.607574,399.177643,112.018600
1077,-324.953979,155.678757,489.821686,66.317177,399.065491,112.288864
1078,-326.197723,155.565536,489.027832,65.898010,399.264252,112.403854
1079,-328.151184,155.240128,487.977509,65.619804,399.452606,112.282341
1080,-329.858917,154.545929,486.739227,65.362984,399.611115,111.997047
1081,-332.018005,153.883972,485.162567,65.099960,399.718536,111.895935
1082,-334.513947,153.281342,483.538696,64.725876,399.636963,111.665764
1083,-337.171570,152.784012,481.365662,64.212257,399.486633,111.252464
1084,-340.252899,151.595322,479.034119,64.033043,399.061005,111.221199
1085,-343.631226,149.928116,476.594910,63.777187,398.811920,110.882103
1086,-347.208313,148.631241,473.823212,63.227097,398.342682,110.253006
1087,-350.995270,148.278641,471.069458,62.821812,397.891296,109.590027
