BLOC303
Date:,2023/12/07
Time:,15:41:20
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,SHO1,,,ELB1,,,HAN1,,,SHO2,,,ELB2,,,HAN2,,,SHO3,,,ELB3,,,HAN3,,,SHO4,,,ELB4,,,HAN4,,,SHO5,,,ELB5,,,HAN5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
12,-853.008972,1026.168579,1430.406250,-691.525696,786.851746,1286.995239,-445.182831,696.834290,1508.857056,178.450699,1226.989990,1243.661499,40.806843,1050.743530,1123.595459,113.576889,877.616333,1328.199219,1066.614990,477.813354,1302.793213,824.554871,543.339111,1150.375977,558.571106,411.226227,1389.086426,803.711670,-713.024048,1311.897095,774.594604,-492.582214,1143.501099,597.980225,-375.394104,1389.494751,-707.903992,-368.549316,1335.928345,-460.722595,-261.815613,1174.215454,-456.770447,-56.478878,1431.092651
13,-852.768005,1026.228149,1430.535034,-690.532043,786.326172,1288.601563,-442.574158,693.006714,1507.802246,179.534988,1226.235474,1244.797852,41.718864,1045.940186,1129.565674,111.568542,867.825684,1330.375000,1066.274658,477.108765,1303.323120,820.419617,541.210510,1155.936401,548.345398,411.197113,1388.580688,802.038330,-712.832947,1312.116333,771.463867,-488.932220,1148.943115,592.491394,-364.767609,1389.880005,-707.855957,-368.056702,1336.100342,-458.600311,-258.926117,1178.478882,-448.151581,-49.931774,1431.812378
14,-852.579346,1026.261108,1430.645264,-689.776550,785.770081,1290.101440,-440.004089,689.638550,1506.716675,180.789978,1225.419678,1245.788208,42.498470,1040.937256,1135.720215,109.576660,858.012207,1332.289185,1066.099121,476.475311,1303.894165,817.881409,538.943298,1160.701904,538.199219,411.401398,1387.643921,801.116821,-712.950562,1312.628662,768.488342,-485.113525,1154.236206,586.981201,-354.098511,1390.119873,-707.766846,-367.667053,1336.362305,-456.502014,-256.394745,1182.327637,-438.931244,-43.410583,1432.238403
15,-852.435608,1026.212769,1430.774414,-689.081787,785.309204,1291.380615,-437.732788,686.480652,1505.567627,182.046539,1224.618652,1246.921997,43.588657,1036.393555,1142.082153,107.317345,848.209778,1334.429077,1065.705200,475.787384,1304.373169,814.257996,536.753601,1165.612549,527.704041,412.271729,1386.092407,799.972656,-713.292480,1312.746948,765.239563,-481.387665,1159.587891,581.600464,-343.456329,1390.172241,-707.433350,-367.099274,1336.702515,-454.494385,-253.309601,1186.520386,-429.811249,-37.076263,1432.530762
16,-852.278870,1026.119629,1430.972412,-688.323059,784.911194,1292.468384,-435.656799,683.565979,1504.566528,183.238724,1223.697754,1248.150269,44.916046,1031.976318,1148.443604,104.853951,838.445190,1336.319092,1065.034424,475.082397,1304.780884,810.787231,534.737366,1170.623413,517.117798,413.703461,1384.385742,799.031433,-713.544373,1313.479126,762.155518,-477.821106,1164.964111,576.171753,-332.570648,1390.195068,-707.297607,-366.578003,1337.021851,-452.548370,-250.981705,1190.440063,-421.068573,-30.744696,1432.534912
17,-852.127747,1026.067871,1431.156128,-687.790527,784.434082,1293.615845,-433.924438,681.074646,1503.635498,184.531342,1222.725098,1249.199097,46.335674,1027.635010,1154.791870,102.369598,829.091858,1338.084351,1064.578979,474.296234,1305.330444,807.843079,532.778687,1175.135864,507.001160,415.326630,1382.232178,798.100403,-713.583984,1314.085571,758.873657,-474.647888,1170.632324,570.722473,-321.473419,1390.039429,-707.084473,-365.852875,1337.337402,-450.694916,-247.954300,1194.341431,-413.165497,-24.583426,1432.417603
18,-851.998352,1026.048950,1431.265747,-687.244019,784.054382,1294.616943,-432.401825,678.679016,1502.769653,185.718887,1221.708130,1250.171997,47.982258,1023.479431,1160.750000,100.186256,820.046936,1339.757568,1064.216553,473.612061,1305.869995,804.905762,530.765442,1179.528564,497.652100,416.674591,1380.046387,797.257690,-713.957886,1314.502319,755.937988,-471.483337,1176.521606,565.623352,-310.391876,1389.636108,-706.862305,-365.150818,1337.643799,-448.830353,-245.250412,1198.305054,-405.949341,-18.395029,1432.261963
19,-851.878784,1026.034180,1431.423218,-686.914368,783.681030,1295.159668,-431.106476,676.400879,1501.859863,186.946854,1220.663330,1251.091064,49.614494,1019.294250,1166.514282,98.292938,811.474487,1341.260376,1063.761597,472.955322,1306.357666,802.214172,528.980652,1183.746460,489.277069,417.633759,1377.877197,796.237976,-714.231140,1315.095825,752.602783,-468.532776,1182.050049,560.722778,-299.416718,1388.959106,-706.589050,-364.577179,1338.028198,-447.296936,-242.573868,1201.998657,-399.242920,-12.459555,1431.934204
20,-851.716248,1025.998901,1431.549927,-686.758911,783.241333,1295.916260,-430.226013,674.535217,1501.200562,188.015701,1219.734253,1252.139404,51.503681,1015.467163,1172.027222,96.383064,803.579407,1342.830200,1063.219116,472.330933,1306.933472,799.645691,527.016479,1187.833862,482.306671,417.912323,1376.461548,795.139343,-714.442810,1315.658325,749.156799,-465.349518,1187.652344,556.200928,-288.406555,1388.209351,-706.268616,-364.033508,1338.305176,-445.728271,-239.460068,1205.938110,-392.693970,-6.600661,1431.463135
21,-851.627014,1025.963379,1431.651733,-686.648010,783.022095,1296.469116,-429.488281,673.190308,1500.717896,189.040710,1218.729614,1253.123779,53.451305,1011.961548,1177.249756,94.434792,795.921143,1344.171021,1062.621704,471.667053,1307.460815,797.178467,525.340027,1191.581299,476.096741,418.041382,1375.108887,794.185486,-714.778748,1316.234741,746.224243,-462.834503,1193.201416,552.169739,-277.683838,1387.142212,-706.175964,-363.444366,1338.591309,-444.415894,-236.902130,1209.861816,-385.606628,-0.528868,1430.584473
