Trial02
Date:,2023/10/25
Time:,15:49:06
Type:,Francesco
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,SHO1,,,ELB1,,,HAN1,,,SHO2,,,ELB2,,,HAN2,,,SHO3,,,ELB3,,,HAN3,,,SHO4,,,ELB4,,,HAN4,,,SHO5,,,ELB5,,,HAN5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
12,-620.957153,566.982849,1469.657349,-565.046936,439.314423,1157.876709,-412.039825,448.739502,1426.658081,53.674232,1193.670776,1430.697632,-24.912664,995.338928,1183.759399,60.486137,797.837097,1411.267090,900.246155,435.792938,1368.307617,755.868713,507.341309,1068.411133,709.758728,430.875641,1335.160156,708.267639,-562.016785,1317.159668,707.478455,-442.987213,1007.703186,601.233521,-363.857605,1261.647827,-410.865692,-322.891418,1328.577271,-395.009552,-374.108398,998.647278,-320.171875,-203.476639,1169.666504
13,-620.981689,567.098511,1469.745850,-564.258667,438.533905,1158.652710,-410.790100,448.298553,1426.993896,53.770405,1192.959229,1430.825684,-24.117634,995.321899,1183.451050,60.731579,796.067993,1410.447876,901.136902,435.610413,1368.129028,755.251648,507.123383,1069.116333,709.963501,430.349060,1335.900635,708.115845,-561.947327,1317.092163,707.150330,-443.484131,1007.497070,600.792908,-363.887238,1261.459717,-412.875031,-324.600464,1330.251709,-394.653809,-373.879059,1000.054749,-321.317413,-204.170639,1172.287598
14,-620.950500,567.232056,1469.835693,-563.050415,437.630249,1159.569580,-409.343842,447.683594,1427.422852,53.939415,1192.320679,1430.985474,-24.143648,994.971069,1183.499146,61.017101,794.633057,1409.894409,902.111572,435.168518,1368.039917,754.679810,506.947327,1069.939941,710.092407,429.779907,1336.757324,707.963684,-561.869080,1316.992798,706.742310,-443.697388,1007.286194,599.257935,-363.395630,1260.462769,-414.869995,-326.277435,1331.583008,-394.178955,-373.593781,1001.134949,-322.210358,-204.458160,1174.783447
15,-620.967285,567.427002,1469.922607,-561.853394,436.468842,1160.729126,-407.416443,447.009796,1427.783447,54.099953,1191.841187,1431.023438,-24.644943,994.433411,1183.683350,61.467331,793.649780,1409.413208,902.773743,434.690918,1367.726074,753.717957,506.894806,1070.954102,710.149231,429.072510,1337.508423,707.866943,-561.850098,1316.864502,706.230347,-443.669403,1007.192017,599.188660,-363.890320,1260.802979,-416.859039,-327.920166,1332.798218,-393.804779,-373.252625,1002.347656,-323.366302,-204.899445,1177.432251
16,-620.984314,567.606567,1470.013306,-560.393860,435.085724,1162.202759,-405.001770,446.046387,1428.309692,54.218693,1191.685547,1431.094360,-24.592293,994.165405,1183.579956,61.814648,793.083801,1409.082886,903.352600,434.309570,1367.473999,752.786804,506.785217,1071.774048,709.994019,428.381805,1338.401367,707.745178,-561.806091,1316.670654,705.676697,-443.364990,1007.021423,598.629150,-363.948486,1260.643799,-418.987335,-329.740173,1334.223267,-393.558838,-373.500946,1003.580750,-324.752472,-205.618759,1180.213623
17,-620.988953,567.741516,1470.096924,-558.567749,433.919312,1163.572266,-402.473877,444.890381,1428.735596,54.151081,1191.071167,1430.638672,-24.519201,993.983643,1183.543945,62.555042,793.031921,1409.098267,903.940125,433.919830,1367.251343,751.477844,506.502625,1072.818481,709.598999,427.579468,1339.054565,707.637634,-561.775635,1316.506104,705.054565,-442.962189,1006.852356,597.519470,-364.055420,1260.581055,-420.909576,-331.377289,1335.379517,-392.699951,-372.498932,1004.780029,-325.625641,-206.168732,1182.929443
18,-620.989990,567.888611,1470.120728,-556.931396,432.096222,1165.327271,-399.303314,443.596039,1429.190796,54.111191,1190.826782,1430.503174,-24.457180,993.801331,1183.442017,62.978889,793.484253,1409.391602,904.490051,433.689087,1367.081909,750.327454,505.998444,1073.613281,708.963745,426.616150,1339.901123,707.505249,-561.807068,1316.341064,704.596375,-442.711273,1007.081848,596.817871,-364.196533,1260.487427,-422.960907,-333.094513,1336.645508,-392.208313,-371.650177,1005.946533,-326.771820,-206.847595,1185.677490
19,-621.005615,568.075500,1470.152344,-554.886719,430.276001,1167.146362,-395.785309,441.941345,1429.725220,54.206829,1191.026123,1430.761597,-24.337488,993.565979,1183.216187,63.698208,794.280762,1409.910400,905.046570,433.564728,1366.884155,748.883301,505.343109,1074.603027,707.986694,425.647247,1340.622681,707.331665,-561.750854,1316.165771,704.067566,-442.371124,1007.135193,595.557373,-363.949982,1259.935791,-425.206421,-334.833191,1338.007935,-391.753357,-371.235107,1007.252136,-327.859406,-207.471024,1188.528564
20,-621.074585,568.367004,1470.167969,-552.636719,428.345245,1169.213745,-391.674713,440.024750,1430.224487,54.193653,1190.828857,1430.718140,-24.198151,993.372803,1183.035400,64.381905,795.402100,1410.493286,905.664429,433.393158,1366.722534,747.182129,504.456635,1075.649658,706.360229,424.581787,1341.562744,707.161926,-561.600708,1315.798950,703.213928,-441.747711,1006.684998,595.045715,-364.330841,1260.150391,-427.172424,-336.787689,1339.153809,-391.138397,-370.926483,1008.566650,-328.755737,-207.972488,1191.330322
21,-621.107117,568.651672,1470.210815,-550.219849,426.359558,1171.628052,-387.135864,437.838562,1431.012573,54.117813,1190.524902,1430.564697,-24.078798,993.172302,1182.909668,65.114136,796.447388,1411.190674,906.621521,433.388947,1366.743774,745.362305,503.747955,1076.979126,704.170227,423.548096,1342.556152,706.910950,-561.559753,1315.749390,702.522949,-441.313660,1006.450073,593.961548,-364.160126,1259.990845,-429.137146,-338.358795,1340.184814,-389.968353,-370.389679,1010.060181,-329.815857,-208.731827,1194.221680
22,-621.190002,569.089539,1470.292725,-547.333496,424.229889,1173.865234,-382.322449,435.567413,1431.692017,54.097969,1190.277100,1430.390503,-24.101845,992.614075,1182.598755,65.726379,797.710449,1412.135620,907.554871,433.336456,1366.621216,743.356689,502.865143,1078.421509,701.164795,422.130005,1343.626953,706.673340,-561.470154,1315.577759,702.191772,-441.062714,1006.970886,594.293396,-364.600861,1260.782593,-431.056091,-340.026672,1341.190674,-389.214233,-369.389160,1011.021851,-330.399109,-209.277985,1197.102783
23,-621.326355,569.495911,1470.371948,-544.371155,422.232361,1176.517578,-377.133331,432.842072,1432.443604,54.072735,1189.965942,1430.151855,-23.861723,992.250244,1182.832520,66.607460,799.048889,1413.594116,908.788391,433.380798,1366.732300,741.284912,501.831268,1080.198608,697.285828,420.948578,1344.987793,706.411438,-561.341064,1315.438965,701.568726,-440.412903,1007.248352,593.685364,-364.964966,1261.463745,-433.152832,-341.756409,1342.404663,-387.736603,-368.576630,1012.196350,-331.103394,-209.672867,1199.905029
24,-621.447876,569.853638,1470.499268,-541.073730,420.459747,1179.598999,-371.423187,429.810364,1433.336426,54.015251,1189.750122,1429.957886,-23.726170,992.128540,1183.229004,67.578453,800.097656,1415.232178,909.949585,433.507874,1366.826416,739.082825,501.031647,1082.419922,692.646057,419.676483,1346.256592,706.079163,-561.204590,1315.338379,700.851563,-439.710663,1007.096619,592.743713,-364.863708,1261.462524,-435.223175,-343.413269,1343.240234,-386.525391,-367.506195,1013.412048,-331.578613,-209.580017,1202.604004
25,-621.559021,570.194214,1470.637817,-538.335144,418.418762,1182.114868,-365.871429,426.776154,1434.089600,54.051147,1189.604370,1429.778198,-23.389212,991.613464,1183.615967,68.389061,801.170349,1416.829346,911.341248,433.595825,1366.882690,736.734619,499.975006,1084.698975,687.309326,418.271057,1347.902588,705.825806,-560.992065,1315.224854,700.360962,-439.478943,1007.060852,591.958557,-364.722504,1261.566284,-437.154877,-344.918488,1344.163818,-384.680328,-365.895660,1014.746643,-331.823639,-209.567123,1205.565430
26,-621.664001,570.477905,1470.810791,-535.320496,416.432251,1185.235352,-359.855804,423.455688,1434.907471,54.065613,1189.445679,1429.621948,-23.290583,990.699280,1184.104980,69.164993,801.246094,1418.227417,912.663147,433.824554,1367.053345,734.179138,498.806854,1087.281128,681.381531,416.883331,1349.638428,705.513489,-560.844788,1315.163696,699.566772,-438.790131,1007.001892,591.502563,-364.970947,1261.816040,-439.268799,-346.808014,1345.312500,-382.820801,-364.199402,1016.131958,-331.739410,-209.600449,1208.547485
27,-621.867615,570.852356,1470.898804,-532.041687,414.460052,1188.245117,-353.519775,419.774841,1435.699341,54.075516,1189.392700,1429.530518,-21.854082,989.468018,1185.109131,69.692566,800.862183,1419.725220,914.160339,433.998352,1367.292114,731.727844,497.650665,1090.165405,674.592651,415.518646,1351.403076,705.285217,-560.536072,1315.012207,698.847595,-438.140625,1007.308350,590.603760,-365.235168,1262.021362,-441.337921,-348.663116,1346.280640,-380.650360,-362.508942,1017.812866,-331.325592,-209.190002,1211.582764
28,-622.184631,571.352051,1470.913208,-528.814636,412.638275,1191.529785,-347.009125,415.960052,1436.545288,54.170341,1189.461304,1429.487305,-22.081207,988.475586,1186.036865,70.215080,799.278442,1420.770386,915.542664,434.182617,1367.509521,729.226440,496.576813,1093.052490,667.229614,414.140137,1353.097534,705.070129,-560.332458,1315.222290,698.278381,-437.717224,1007.568176,590.123718,-365.308289,1262.549927,-443.448120,-350.254913,1347.059937,-378.071472,-360.520020,1019.188721,-330.488068,-208.363724,1214.802124
29,-622.305237,571.807312,1470.944702,-525.562439,410.793457,1194.862671,-340.431671,412.126343,1437.164917,54.272503,1189.630615,1429.589966,-21.586687,987.219055,1187.502075,70.508400,797.061157,1421.670654,916.899780,434.357117,1367.612305,726.772400,495.784729,1096.420654,659.416504,412.620178,1354.773071,704.862671,-559.971802,1315.320679,697.482178,-436.718170,1007.394287,589.260315,-365.086365,1263.046509,-445.776611,-352.026855,1347.929688,-375.251740,-358.471558,1021.128723,-329.441132,-207.320251,1217.913696
30,-622.476929,572.123962,1470.908936,-521.915955,409.067169,1197.879150,-333.790833,408.071808,1437.826416,54.423336,1189.711914,1429.637085,-21.211020,985.346375,1188.839600,70.560577,793.539307,1422.300537,918.429993,434.324158,1367.967285,724.187439,494.560638,1099.556030,651.144226,410.943390,1356.173096,704.601440,-559.517822,1315.387207,697.222900,-436.055084,1007.961731,588.147034,-364.890076,1263.142090,-447.789581,-353.991089,1348.742554,-372.082092,-355.867493,1022.962769,-328.140533,-205.672592,1220.901611
31,-622.557190,572.375854,1470.917358,-518.688721,407.336121,1201.321655,-327.013550,403.738800,1438.563965,54.680252,1190.082886,1429.956421,-20.723877,983.357727,1190.906616,70.644493,788.619629,1422.214233,919.664551,434.287903,1368.055786,721.591797,493.609283,1103.025024,642.370117,409.328308,1357.531006,704.277832,-559.124084,1315.447144,696.342834,-435.077118,1008.123352,586.774658,-364.571686,1262.993042,-450.054596,-355.719208,1349.635132,-368.621857,-352.878265,1025.029907,-326.367554,-204.006363,1224.485229
32,-622.613220,572.706848,1470.878784,-515.026489,405.623047,1204.815430,-320.220123,399.340881,1438.944458,55.013073,1190.468750,1430.438354,-20.245388,981.271545,1193.300415,70.189117,782.839294,1422.305664,921.210144,434.333923,1368.425903,719.036072,492.710968,1106.669800,633.302368,407.680542,1358.784424,703.918640,-558.741150,1315.363892,695.912598,-434.160919,1008.809326,586.826050,-364.777130,1264.345215,-452.132141,-357.458191,1350.515625,-364.643677,-349.736115,1027.248657,-324.420776,-201.842224,1227.842163
33,-622.584290,573.046936,1470.869019,-511.576202,404.101349,1208.222778,-313.305695,394.828278,1439.169434,55.402409,1190.866089,1431.035522,-19.943335,979.458496,1196.698242,69.769562,776.165527,1422.178467,922.650146,434.301300,1368.660645,716.423462,491.684143,1110.203613,624.002197,406.082794,1359.882690,703.504700,-558.235046,1315.423950,694.937866,-432.700623,1008.615234,585.393494,-364.343109,1264.633179,-454.370728,-359.236023,1351.363525,-360.507935,-346.234619,1029.712158,-322.136139,-199.174667,1231.306763
34,-622.555725,573.407898,1470.915649,-508.330109,402.415375,1211.742310,-306.237213,390.186005,1439.307373,55.729607,1190.761230,1431.248901,-19.143055,976.810608,1198.686768,69.011955,768.425720,1421.572876,924.000916,434.199768,1368.741333,713.704102,490.858154,1114.041870,614.165161,404.329834,1360.674316,703.197144,-557.482422,1315.552979,694.157715,-431.538452,1009.629272,583.703491,-363.420959,1264.746338,-456.184082,-361.080444,1352.151489,-356.240326,-342.583282,1032.730347,-319.289581,-195.839798,1234.770264
35,-622.408447,573.721802,1471.007813,-504.603790,401.121521,1214.661499,-299.388000,385.410309,1439.358154,56.021782,1190.701416,1431.638672,-18.251402,974.425232,1201.819824,67.957352,759.792664,1420.740601,925.635437,434.189087,1369.050293,710.960693,489.431427,1117.856323,604.282837,402.805145,1361.632324,702.896729,-556.839600,1315.890625,693.478699,-429.908417,1010.277649,583.101501,-363.344574,1266.116455,-458.283142,-362.309265,1352.646606,-351.705811,-338.845215,1035.761475,-316.531616,-192.114807,1238.472534
36,-622.181519,574.063354,1471.008911,-501.209991,399.790405,1218.200928,-292.591187,380.528168,1439.092041,56.493782,1190.967773,1432.210327,-17.503475,971.298523,1204.620361,66.704056,750.539185,1419.487061,927.009705,434.115021,1369.218628,708.211731,488.516479,1121.938599,594.028503,401.200256,1362.342773,702.325684,-556.331360,1316.017944,692.120605,-427.957367,1011.111206,581.518372,-362.535889,1267.340454,-460.243317,-364.153503,1353.495117,-347.106567,-335.045959,1039.082886,-313.213409,-188.363403,1242.589844
37,-621.796387,574.418152,1470.968628,-497.930756,398.642365,1221.509521,-285.567078,375.478149,1438.838745,56.899605,1191.302002,1432.786133,-16.726917,968.648315,1207.927612,65.315765,740.918945,1417.778198,928.322510,434.092407,1369.305786,705.416870,487.101837,1125.874512,583.699219,399.573975,1362.834351,701.844421,-555.526245,1316.371948,690.699158,-425.741150,1012.113403,580.004395,-361.374481,1268.576660,-462.433411,-365.573212,1354.200195,-342.497986,-330.649658,1042.858276,-309.507965,-183.969299,1246.334717
38,-621.372131,574.875427,1470.998657,-494.509033,397.366180,1224.459839,-278.478180,370.466034,1438.120850,57.164677,1191.102905,1432.816040,-15.910028,965.837219,1211.358765,63.513283,730.848328,1415.716553,929.776428,434.126068,1369.494141,702.432068,486.089813,1130.136719,573.072021,398.025543,1363.041870,701.416260,-554.730042,1316.725708,688.957947,-423.051117,1012.596008,577.664612,-360.132263,1269.577148,-464.459412,-366.989807,1354.985107,-337.990326,-326.127289,1046.770020,-305.484009,-178.974121,1250.088501
39,-621.057617,575.208984,1471.089600,-490.905792,396.040070,1227.429810,-271.664703,365.227905,1437.008057,57.534698,1191.330444,1433.450439,-15.252370,962.583008,1214.813354,61.929695,720.487854,1413.114380,931.098450,434.265198,1369.560425,699.753845,484.662842,1134.434204,562.395813,396.380371,1362.965454,700.773376,-554.057068,1317.060059,687.714844,-420.804199,1014.413635,575.556702,-358.617523,1271.019653,-466.443878,-368.712708,1355.766846,-333.565826,-321.626099,1051.111938,-301.123322,-173.740829,1254.093750
