BLOC111
Date:,2023/11/20
Time:,15:44:55
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,SHO1,,,ELB1,,,HAN1,,,SHO2,,,ELB2,,,HAN2,,,SHO3,,,ELB3,,,HAN3,,,SHO4,,,ELB4,,,HAN4,,,SHO5,,,ELB5,,,HAN5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-859.910339,602.911011,1466.023071,-707.083069,470.716492,1248.843750,-640.219116,608.268005,1611.299561,187.149384,1407.068115,1387.489502,126.919174,1242.933838,1118.048950,228.569733,1186.675537,1485.247803,1143.587646,597.788513,1442.574097,920.167419,654.120422,1193.570313,930.748474,558.907593,1597.659180,571.299988,-298.820160,1317.356445,606.824036,-203.924194,1081.879150,362.992981,-191.316132,1359.098389,-489.014038,-437.173615,1380.019653,-281.801422,-366.668396,1155.742432,-324.116516,-240.395386,1509.149902
2,-859.669800,602.835571,1466.028442,-706.310730,470.703491,1248.998657,-642.978455,608.215881,1611.913330,187.082657,1407.009521,1387.531738,127.006775,1242.606079,1117.976807,228.519867,1186.386597,1485.325073,1143.581299,597.780457,1442.602051,920.071350,654.159119,1193.691895,930.628479,558.844177,1597.708618,571.143066,-298.544220,1317.254150,606.778503,-203.755447,1081.911377,363.030731,-191.447327,1359.074829,-488.936859,-437.095001,1380.091797,-281.618866,-366.432007,1155.894653,-324.011353,-240.014130,1509.341919
3,-859.343262,602.741089,1465.989136,-705.314880,470.960419,1249.205566,-645.611572,608.288330,1612.649170,187.025162,1406.970337,1387.487915,126.970222,1242.322144,1118.035645,228.500763,1186.087036,1485.356567,1143.520386,597.780212,1442.573120,919.858093,654.132568,1193.722534,930.527954,558.833130,1597.814453,571.525574,-298.320648,1317.491577,606.690247,-203.553772,1081.850098,362.993774,-191.725143,1359.031738,-488.921997,-437.020447,1380.148071,-281.499786,-366.086853,1156.109741,-323.786285,-239.672943,1509.525879
4,-858.837585,602.627563,1465.986084,-704.275330,471.146545,1249.507690,-648.072754,608.368408,1613.434814,187.072800,1406.775391,1387.497559,126.986122,1242.052246,1117.942139,228.319870,1185.747925,1485.442139,1143.503540,597.785339,1442.603516,919.761719,654.135864,1193.846191,930.361755,558.841553,1597.962036,571.471436,-297.968109,1317.478027,606.614502,-203.472382,1081.814087,362.952576,-192.010910,1358.961060,-488.899109,-436.934052,1380.205322,-281.182739,-366.070526,1156.280762,-323.565155,-239.288208,1509.658936
5,-858.304871,602.532532,1465.983643,-703.222290,471.230560,1249.473022,-650.342224,608.111389,1614.232422,186.982224,1406.715820,1387.533936,126.982880,1241.722778,1118.011841,228.127777,1185.452393,1485.477661,1143.443848,597.785828,1442.575928,919.604126,654.167053,1193.935059,930.186584,558.811768,1598.039063,571.304321,-297.607849,1317.382324,606.500427,-203.230865,1081.761841,362.891663,-192.180298,1358.861084,-488.823792,-436.864044,1380.290039,-281.196594,-365.669159,1156.583252,-323.266602,-238.795517,1509.801514
6,-857.867493,602.426453,1465.976929,-701.811707,471.452301,1249.810913,-652.510498,607.894836,1614.978760,186.938446,1406.597168,1387.509766,126.954834,1241.505615,1118.112793,227.884872,1185.162354,1485.465332,1143.460205,597.837646,1442.591919,919.380493,654.126892,1194.003174,929.964722,558.847534,1598.097168,571.218506,-297.342407,1317.363647,606.322693,-202.925369,1081.616089,362.694458,-192.475403,1358.689331,-488.804749,-436.743378,1380.354004,-281.087250,-365.359009,1156.943726,-322.942535,-238.231430,1509.988403
7,-857.456909,602.313538,1466.075195,-700.567322,471.822357,1250.166870,-654.321228,607.718079,1615.837769,186.841736,1406.451660,1387.530518,126.887192,1241.201782,1118.191895,227.738510,1184.674683,1485.495728,1143.463013,597.839722,1442.593872,919.217285,654.168884,1194.136963,929.736206,558.882019,1598.223022,571.188354,-297.043243,1317.292480,606.176941,-202.545578,1081.529663,362.490723,-192.775314,1358.430420,-488.852264,-436.675201,1380.306519,-280.786163,-365.033752,1157.432373,-322.440704,-237.558533,1510.247192
8,-857.089111,602.146179,1466.179321,-699.104736,472.234314,1250.564941,-656.018311,607.310608,1616.804810,186.779190,1406.371582,1387.540039,126.704269,1240.750366,1118.404541,227.662994,1184.233887,1485.413086,1143.373779,597.839172,1442.580078,919.049072,654.151306,1194.255981,929.437439,558.915833,1598.324219,571.177429,-296.928589,1317.283325,606.060913,-202.167572,1081.482666,362.244568,-193.048645,1358.245239,-488.658173,-437.430725,1381.070068,-280.537476,-364.817993,1157.773438,-322.072327,-237.057678,1510.438477
9,-856.722046,602.092407,1466.209229,-697.559631,472.504761,1250.894653,-657.155823,607.107605,1617.632935,186.749786,1406.248535,1387.563599,126.656143,1240.305908,1118.602417,227.606415,1183.597290,1485.503174,1143.370117,597.838013,1442.578247,918.822144,654.139465,1194.412354,929.206543,558.949280,1598.449341,571.188049,-296.816711,1317.398438,605.911743,-201.767838,1081.459839,362.088013,-193.127838,1358.057251,-488.843384,-436.629120,1380.384155,-280.474731,-364.637268,1157.959717,-321.600494,-236.441391,1510.557617
10,-856.266663,602.094360,1466.206543,-695.847717,472.903931,1251.709839,-658.221985,606.857971,1618.526489,186.714752,1406.100952,1387.547852,126.489128,1239.672852,1118.867798,227.380402,1182.763184,1485.551636,1143.329590,597.890930,1442.567749,918.562134,654.167480,1194.612549,928.971863,558.995911,1598.532471,571.198242,-296.594635,1317.448120,605.809265,-201.461472,1081.426880,361.674225,-193.336777,1357.873535,-488.865723,-436.448303,1380.372803,-280.292084,-364.261383,1158.430054,-321.042084,-235.725418,1510.826660
11,-855.745789,602.062317,1466.317261,-694.013733,473.472961,1252.408081,-658.737183,606.520813,1619.275146,186.752441,1405.994507,1387.583740,126.333466,1239.104004,1119.248047,226.993896,1182.013184,1485.517700,1143.267700,597.891479,1442.538208,918.208740,654.106262,1194.761963,928.648376,558.944580,1598.700439,571.070435,-296.316254,1317.426270,605.687439,-201.165009,1081.449951,360.969910,-193.387253,1357.580566,-488.860321,-436.404205,1380.436646,-280.079132,-363.815674,1158.932373,-320.634399,-234.998337,1511.051758
12,-855.373108,602.004272,1466.344360,-692.213562,474.014221,1253.289307,-658.565674,606.181335,1620.446167,186.772598,1405.886475,1387.618042,126.047981,1238.379761,1119.814331,226.529526,1180.750488,1485.636841,1143.229980,597.950806,1442.497925,917.858826,654.080505,1194.881470,928.314270,558.897705,1598.819214,570.957275,-296.070282,1317.347900,605.520081,-200.807632,1081.433838,360.064453,-193.624100,1357.224121,-488.846832,-436.301056,1380.464722,-279.767944,-363.509949,1159.208374,-320.212952,-234.316025,1511.096558
13,-855.114807,602.021240,1466.406372,-690.270081,474.711975,1254.223999,-658.228333,605.560303,1621.406250,186.763016,1405.830933,1387.652588,125.890884,1237.576172,1120.272583,226.197983,1179.215698,1485.770508,1143.185791,598.013977,1442.477783,917.601868,654.089050,1195.042236,927.932678,558.796631,1598.930664,570.653625,-295.418488,1317.271851,605.278015,-200.219177,1081.364014,359.329651,-193.713303,1356.921143,-488.823151,-436.223419,1380.570068,-279.722931,-363.290771,1159.386353,-319.403595,-233.766281,1511.185669
14,-854.772461,602.079651,1466.505493,-688.160583,475.386383,1255.368042,-657.099731,604.884338,1622.607056,186.820175,1405.700195,1387.713013,125.711006,1236.732422,1120.763794,225.452484,1177.482788,1485.862915,1143.116577,598.028381,1442.453491,917.173218,654.111816,1195.248047,927.608887,558.755005,1599.139893,570.459595,-295.075348,1317.075928,604.993347,-199.577682,1081.210815,358.460632,-193.897690,1356.660034,-488.786194,-436.131958,1380.651978,-279.506622,-362.681580,1159.871094,-318.596313,-233.190247,1511.458008
15,-854.485229,602.189514,1466.608765,-686.093201,476.236145,1256.560547,-655.553955,604.012695,1623.877441,186.785507,1405.642212,1387.778198,125.447563,1235.826172,1121.319336,224.878937,1175.557983,1485.923340,1143.072388,598.079834,1442.440918,916.787109,654.079102,1195.449585,927.214844,558.777161,1599.305786,570.375610,-294.808289,1316.998779,604.824829,-199.122116,1081.164673,357.451782,-194.161591,1356.134644,-488.777588,-435.934479,1380.716431,-279.260040,-361.991913,1160.334961,-317.931793,-232.675964,1511.577637
16,-854.130920,602.285278,1466.658081,-683.817139,477.183197,1257.989502,-653.211304,603.287415,1624.922485,186.790009,1405.517822,1387.818359,125.384636,1234.716797,1121.940063,224.217331,1173.075562,1486.086548,1143.041992,598.147949,1442.437622,916.352600,654.107788,1195.728149,926.816406,558.749451,1599.543823,570.284058,-294.521637,1316.963257,604.677185,-198.716705,1081.118896,356.350220,-194.782928,1355.352661,-488.729431,-435.846039,1380.868042,-279.178680,-361.812103,1160.459595,-316.987335,-232.291855,1511.769897
17,-853.864075,602.375610,1466.678345,-681.773499,477.940338,1259.495361,-650.179260,602.436646,1626.392090,186.751846,1405.408936,1387.903442,125.178009,1233.704346,1122.545410,223.609406,1170.710449,1486.460205,1142.992920,598.203674,1442.382446,915.992920,654.084900,1195.952271,926.266663,558.754761,1599.659302,569.941345,-294.124664,1316.829956,604.461121,-198.300629,1081.157715,355.737457,-194.809387,1355.061035,-488.543488,-436.014984,1381.418823,-278.881653,-361.267029,1160.721558,-315.935028,-231.775040,1512.036865
18,-853.583984,602.517944,1466.764771,-679.517822,478.837219,1261.006958,-646.335693,601.827881,1627.710693,186.695648,1405.291260,1387.966187,125.093811,1232.457764,1123.276733,223.048309,1168.068726,1486.614624,1142.949097,598.255859,1442.369507,915.502502,653.983215,1196.190308,925.868103,558.707886,1599.878662,569.801941,-293.601410,1316.840576,604.145691,-197.488022,1081.058228,354.777527,-194.918579,1354.629395,-488.482544,-435.937927,1381.660278,-278.472595,-360.526886,1161.329712,-314.613586,-231.010117,1512.228760
19,-853.362000,602.584351,1466.856201,-677.149353,479.863464,1262.717041,-641.590454,601.213501,1629.246582,186.657028,1405.156982,1388.013550,125.023697,1231.153442,1123.945190,222.373932,1165.356934,1486.741699,1142.838501,598.311096,1442.285156,915.049866,653.936401,1196.417603,925.224426,558.690430,1600.081055,569.840576,-292.994995,1316.947388,603.932129,-196.818710,1081.138550,354.073547,-195.078262,1354.228760,-488.246735,-436.411407,1382.283081,-278.347504,-360.123810,1161.670410,-313.359283,-230.398682,1512.383423
20,-853.158447,602.751038,1466.915649,-674.954468,480.938629,1264.481445,-636.164917,600.851257,1631.027344,186.530014,1404.920898,1388.054932,124.842216,1229.767944,1124.715332,221.787994,1162.512817,1487.200684,1142.778564,598.356812,1442.254028,914.481384,653.886719,1196.675049,924.692383,558.752808,1600.316895,569.644531,-292.424408,1316.789917,603.735168,-196.136322,1081.312012,353.112244,-194.959137,1353.856689,-488.206085,-436.312897,1382.443237,-278.029999,-359.684692,1162.189331,-311.820709,-229.787994,1512.658447
21,-852.983093,602.883606,1466.986450,-672.724060,481.978149,1266.189941,-629.615662,600.456116,1632.883057,186.454147,1404.811646,1388.042969,124.706924,1228.286987,1125.564697,221.169022,1159.519043,1487.561890,1142.682373,598.417725,1442.186401,913.909790,653.891235,1197.027100,923.945068,558.756714,1600.537720,569.599915,-291.977661,1316.824341,603.473206,-195.426987,1081.411499,352.199493,-194.750320,1353.592407,-488.189423,-436.175781,1382.501953,-277.952393,-359.135986,1162.883301,-310.362427,-228.926651,1512.989990
