Objects
100
,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
84,0,-0.568947,-1.144603,2.561473,-34.295071,45.361919,673.608398
85,0,-0.564728,-1.143017,2.570362,-34.120956,42.348808,674.004272
86,0,-0.557217,-1.159824,2.580694,-34.392353,38.703480,674.062805
87,0,-0.546952,-1.170582,2.592501,-34.936588,34.975563,673.285034
88,0,-0.540667,-1.181727,2.597789,-35.635635,31.982058,671.857422
89,0,-0.524482,-1.199947,2.586635,-36.119617,30.428484,670.783875
90,0,-0.520670,-1.183216,2.590297,-35.944611,32.045319,671.054443
91,0,-0.536370,-1.160159,2.592416,-36.222298,35.432308,671.363647
92,0,-0.555913,-1.152856,2.574957,-36.301392,39.002522,671.663025
93,0,-0.581734,-1.145096,2.555238,-36.324074,42.480259,671.916809
94,0,-0.596397,-1.131265,2.547986,-36.059097,45.325222,672.343994
95,0,-0.599271,-1.132863,2.538972,-35.537670,46.591930,673.062744
96,0,-0.589586,-1.135500,2.536313,-34.634323,46.163643,673.988525
97,0,-0.578686,-1.138133,2.539205,-33.860641,44.429924,674.807434
98,0,-0.561375,-1.151184,2.540294,-33.026543,42.549099,674.976868
99,0,-0.547936,-1.155303,2.542315,-32.593315,40.893051,674.366333
100,0,-0.558230,-1.154532,2.544855,-32.502110,40.243458,672.915405
101,0,-0.559792,-1.155000,2.541535,-32.770725,40.951679,670.894714
102,0,-0.558245,-1.130546,2.551237,-32.568203,42.788956,670.457397
103,0,-0.557432,-1.109957,2.547374,-32.180134,44.970798,671.329407
104,0,-0.573991,-1.113181,2.535147,-32.526493,46.592194,672.157532
105,0,-0.587575,-1.118501,2.520979,-32.616562,47.974075,672.839111
106,0,-0.589267,-1.105977,2.521190,-32.189453,48.803623,673.362854
107,0,-0.586689,-1.101828,2.524432,-31.693169,48.820267,674.036377
108,0,-0.571883,-1.096928,2.530576,-31.290405,47.614727,674.279968
109,0,-0.561036,-1.115492,2.531097,-31.272076,45.710644,674.188782
110,0,-0.559238,-1.128288,2.531923,-31.377438,44.341324,673.242249
111,0,-0.558526,-1.139018,2.528676,-31.728271,43.892845,671.679016
112,0,-0.566590,-1.130740,2.531681,-32.056412,44.858559,670.405090
113,0,-0.559301,-1.112722,2.535053,-31.900045,46.673962,670.885437
114,0,-0.560268,-1.103075,2.529015,-31.906839,49.041523,671.768005
115,0,-0.576123,-1.106214,2.514154,-32.050652,51.016479,672.362610
116,0,-0.587499,-1.109692,2.502466,-32.185268,52.885033,672.732788
117,0,-0.591602,-1.096784,2.503308,-31.770952,54.211891,672.933838
118,0,-0.590151,-1.096860,2.504509,-31.280796,54.544369,673.340332
119,0,-0.582484,-1.099373,2.506929,-30.833275,53.754013,673.552551
120,0,-0.570786,-1.107197,2.507313,-30.495449,52.590729,673.400024
121,0,-0.566683,-1.118983,2.504561,-30.350224,51.570873,672.758972
