PathFileType,4,(X/Y/Z),/media/skhan/a3834ba8-63e8-4c94-a591-37426067a347/TracX/Projects/20250523/20250523_SH11_Ex03/output/20250523/20250523_SH11_Ex03_motion_20250603_172630.csv
DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames
30,30,1054,37,m,30,0,1054
Frame#,Time,Hip,,,Spine_01,,,Spine_02,,,Spine_03,,,Spine_04,,,Spine_05,,,Neck,,,Neck_02,,,Neck_03,,,Head,,,Nose,,,LEye,,,LEar,,,REye,,,REar,,,RLatissimus,,,LLatissimus,,,RClavicle,,,RShoulder,,,RElbow,,,RWrist,,,LClavicle,,,LShoulder,,,LElbow,,,LWrist,,,RHip,,,RKnee,,,RAnkle,,,RBigToe,,,RSmallToe,,,RHeel,,,LHip,,,LKnee,,,LAnkle,,,LBigToe,,,LSmallToe,,,LHeel,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37
0,0.0,0.3683479730952641,0.18464137772688982,0.18264983789847955,0.3683479730952641,0.18464137772688982,0.18264983789847955,0.36337484599215525,0.23080521668119106,0.1877974658179123,0.3503667395953331,0.2891743114600133,0.1986601487818596,0.3676087958037737,0.4290273188204985,0.19594199449967215,0.37227218527495826,0.5518570250028954,0.20120475689245865,0.39266129091764423,0.6304253167569676,0.2022574583099713,0.3941641742008862,0.6849609214880568,0.20353382481840956,0.39670382338208826,0.7258422472912559,0.2086629023329642,0.45090533476674244,0.8850983024809959,0.216560180469298,0.5791459525727537,0.8278104908100482,0.29257630468912854,0.5625156175523688,0.8600654915843227,0.2766074321515408,0.5852070418478089,0.8682529875663693,0.24873549597248928,0.5454165034233686,0.8448800843975942,0.28042630228456966,0.5333293317798111,0.8467245280016857,0.25868304489878735,0.2740186145411628,0.5257534392161031,0.15030349623022132,0.48147100908725216,0.5431776496171935,0.174764159460543,0.363806625271328,0.6618546164565347,0.18911325608945545,0.19683951244957174,0.7112508430634419,0.13875039040660353,0.26988973684735335,0.45190340379741556,0.13504912012085116,0.09132580140510738,0.3252102935593728,0.22724605027664715,0.407351722980152,0.6563499019959402,0.1784811157704364,0.5641435661616379,0.7403563426843827,0.14170809912115545,0.7321257593656698,0.5297250037210071,0.1364592180024335,0.830935383868701,0.31451658523791143,0.15539309959440872,0.3683479730952641,0.18464137772688982,0.18264983789847955,0.2780766986410237,-0.09253288230652507,0.41291798030132343,0.15904172538864259,-0.35089753281575253,0.14857429137204095,0.2939717154662226,-0.5087935195521316,0.09457473440649604,0.245250606583845,-0.4791169286417768,0.10112937654049353,0.169924312564337,-0.2802197122039105,0.11198638502498433,0.3683479730952641,0.18464137772688982,0.18264983789847955,0.48712280407067976,-0.09631310338545124,0.39467580303477345,0.4947493627096159,-0.35274833537971373,0.10315906121354065,0.6274892772200514,-0.48613319279452283,0.0,0.6298535225119913,-0.4362660588282918,0.028374092522710267,0.49246482273419556,-0.28931218808184045,0.05393410804910868
1,0.03333333333333333,0.36886708801720125,0.18551887729594518,0.18276701955443886,0.36886708801720125,0.18551887729594518,0.18276701955443886,0.3639405185488528,0.2316873656781941,0.1879167723958413,0.35095548268633225,0.2900603007083429,0.1987863184480405,0.3682283456239718,0.4299083518215801,0.1960131942105502,0.37305097222779454,0.5527365915323164,0.20114614648914117,0.3934250706344004,0.6313094048381737,0.20214318622231692,0.3949926128032557,0.685844177867579,0.2033622322133124,0.3975786109509277,0.7267275732257903,0.20844982621346067,0.4516607921201087,0.8860266862849633,0.2162913827366047,0.5798231248312324,0.8285426812819384,0.2922901557588361,0.5631082972954272,0.8607284354618037,0.2762721753389332,0.5857525550012082,0.8689362673057168,0.2483877600758298,0.5460730072665185,0.8455641233120427,0.2801305953544844,0.5339681260548157,0.8474125751545996,0.2584244272052627,0.2747776494839976,0.5266200639325985,0.15028969721970364,0.4822498657888072,0.5441856974797233,0.17466575609191243,0.3647935592288415,0.6627333731151029,0.18891682446150398,0.1978579624089423,0.7122856905868044,0.13860399828679196,0.27074798264857614,0.45289385054497766,0.13487312485865532,0.09218440685469269,0.3261569043817897,0.2270105773401801,0.4080626823219142,0.6572473136759672,0.17840052978302062,0.5648537026121179,0.7412099258047947,0.1415251692657233,0.7375419320672782,0.5350836742925424,0.13347920014312714,0.845825153103385,0.3256007713815191,0.1487904372252433,0.36886708801720125,0.18551887729594518,0.18276701955443886,0.27846017031576953,-0.09167869640374932,0.41295365935843814,0.15936338026583788,-0.3500436542084527,0.14863816717390937,0.2936809470174536,-0.5084691419406608,0.0946884435739408,0.2449094416764465,-0.4788786709332564,0.10125404291404279,0.17012369878431705,-0.279404321033633,0.1119419069503598,0.36886708801720125,0.18551887729594518,0.18276701955443886,0.4873738400083725,-0.09562019773816474,0.39469744578179655,0.4947906122352267,-0.35202117071573796,0.1031455814923829,0.626258365937273,-0.4866142699163052,0.0,0.6278274376977361,-0.436882996815534,0.02860779957729484,0.4928329258685692,-0.2887522082362417,0.053701132473273426
2,0.06666666666666667,0.3692471704169642,0.18624754862405377,0.1829087655198603,0.3692471704169642,0.18624754862405377,0.1829087655198603,0.3643831334605943,0.23242227622192954,0.18805932972118986,0.3514447483367629,0.2908059122913723,0.1989264010267287,0.3687697730836447,0.43064530448858057,0.19606066892939594,0.3738227914104878,0.5534696663944377,0.20099124504388977,0.39416494978571376,0.6320513315395481,0.20191705200585158,0.3958047379852856,0.6865848295077732,0.2030646357516121,0.39842746790546807,0.7274710288757213,0.2081087766231871,0.4523414055368241,0.8868301103128852,0.21587264760300645,0.5804418796252414,0.8291408981607449,0.29181835933338685,0.563631906855864,0.8612429156667657,0.27573713312318504,0.5861908680213843,0.8694721954505427,0.247838906936096,0.546670137870413,0.8461086519133044,0.2796449679499763,0.5345315834195473,0.847949432835609,0.25799410093442765,0.2755146167670369,0.5273319855420888,0.15021322810325524,0.4830109807722019,0.5451165216150714,0.17441162589902412,0.3658514317580326,0.6634609017758536,0.1885634312854711,0.19896569369397665,0.7132377802296805,0.1383110064124927,0.2716050928326357,0.45377706430327575,0.13455397135730507,0.0930428314253639,0.3269835814216539,0.22661656594787963,0.40870207795907043,0.6580167081335124,0.17821257447770955,0.5654962410556539,0.7419083769252367,0.14119320162588944,0.7440239854015095,0.5428157510541929,0.12944665466478067,0.8636446187161185,0.34336621098249315,0.1400677704605125,0.3692471704169642,0.18624754862405377,0.1829087655198603,0.27865393818032136,-0.09098881772135436,0.41297457295876056,0.15950459675675352,-0.3493482659887451,0.14867751194601003,0.29295159363669604,-0.5085051161915485,0.09480980191642957,0.24412682166553784,-0.4790063223024683,0.10138929874812215,0.1701055562870519,-0.27876692476906767,0.11182930663025813,0.3692471704169642,0.18624754862405377,0.1829087655198603,0.4873688938867514,-0.09515621311822503,0.39469987816548496,0.4945484288705625,-0.35148449886131106,0.10307914590035704,0.6240745886116813,-0.48779540624981377,0.0,0.6246218021958708,-0.4382763509331589,0.028863591593067298,0.4931077253726851,-0.28844764320518074,0.05335337028936966
3,0.1,0.3700875639053711,0.18733263783783544,0.18289535236030618,0.3700875639053711,0.18733263783783544,0.18289535236030618,0.3653034969229202,0.23351415818763543,0.18805561297485,0.3524214535002599,0.2919102026163029,0.19892207092720884,0.3697919465191812,0.43174037789351444,0.195915616871887,0.3751583514806555,0.5545578396437933,0.20053689982002443,0.3954077020876237,0.6331636302452869,0.2013720938451967,0.3971311816469125,0.6876954615388378,0.20242396576202965,0.3997738953691691,0.7285859819302786,0.20742176989389402,0.45339835103166165,0.8880452492585116,0.2150844131375514,0.5813214960263791,0.8299573103520783,0.29101626751051074,0.5643654745048652,0.8619307277580323,0.2748435460313768,0.5867782761349735,0.8701935677855005,0.2469225750632753,0.5475177508519332,0.8468453201383572,0.27882320935668653,0.5353156467001198,0.8486620103711368,0.25726639740105417,0.27676405431418066,0.5283617046742468,0.14995719184914058,0.4843202845511546,0.5465112996330386,0.17377655063043987,0.36757017441391826,0.6645348462477606,0.1878199361122423,0.20072225157251775,0.7146063470432931,0.13774160283017609,0.2728903163789982,0.45501800440276713,0.1339753385329667,0.0943333960657085,0.3281365140319358,0.22592820261854107,0.4097398257607743,0.6591923169981664,0.17772261006596107,0.5665509472627294,0.7429545751030406,0.14049264330916827,0.7527446364174408,0.5555655469546094,0.12346470979173362,0.8862983300801577,0.3728371264621709,0.12780530653643382,0.3700875639053711,0.18733263783783544,0.18289535236030618,0.2791628316437337,-0.08996058361711694,0.4127603211784102,0.15991344388345566,-0.34833952003136104,0.14852746701198888,0.2918369182692848,-0.5087391837819291,0.09486577703574312,0.24294619931580827,-0.4793565798178314,0.1014726395215963,0.17024321904430412,-0.27784957293216733,0.11144377535826323,0.3700875639053711,0.18733263783783544,0.18289535236030618,0.4874945681078741,-0.09451927077022061,0.3944783903472569,0.49423247855277863,-0.3507759489562012,0.10278725540465158,0.6202051284832424,-0.48998764597948374,0.0,0.6192631838810152,-0.44083652183322963,0.029191164447126966,0.49361768486794344,-0.2881021144567328,0.052663400703434
4,0.13333333333333333,0.3711814803582039,0.18862619108200923,0.18255099990626528,0.3711814803582039,0.18862619108200923,0.18255099990626528,0.36649587834365194,0.23481517871238605,0.1877283117992283,0.3536894680291697,0.29322828545239643,0.1985908204408088,0.37110217681284935,0.4330478313080391,0.19539077431968233,0.37687427528260586,0.5558525300416999,0.19959106878126806,0.3969638086333152,0.6344984699188576,0.2003226164610265,0.39877711680342015,0.6890282446295133,0.2012597872114165,0.40141203130872666,0.7299244274973364,0.20621531340679228,0.45462156731490533,0.8895235501745857,0.2137654438833715,0.5822423117335316,0.8308459718456532,0.28973241012236234,0.5651056151751324,0.8626547869040266,0.2734425387046846,0.5873175070799187,0.8709569763586469,0.24549485166601548,0.5483997819556373,0.8476341401042327,0.2775126432400594,0.5361082948484143,0.8494129312291824,0.25608533895278174,0.27835381166060524,0.5295572983923975,0.14931052314752172,0.4859999162755417,0.5482967176532496,0.17258814300468428,0.3697815759104529,0.6658062644965306,0.18650600425197167,0.2029460926113476,0.7162255290373692,0.13674632230135697,0.27439489696714875,0.4564465852347093,0.13299584145828738,0.09584885785108055,0.3294459136215064,0.22480713277161174,0.4110247367267615,0.6606116058161282,0.17673350704492716,0.5678755300415765,0.7441749072127237,0.13924118064141894,0.7622568888929819,0.572397920231806,0.11601249508911388,0.9099306168295433,0.41099195668947697,0.11340234555799487,0.3711814803582039,0.18862619108200923,0.18255099990626528,0.2797947589312164,-0.088746891667986,0.41213434162238194,0.1603926469273133,-0.3471822995234614,0.14802536278201583,0.2900841419527226,-0.5093229874913836,0.09472508805735899,0.24112922550227184,-0.4800561988343939,0.10137253072100501,0.17035418133912814,-0.2768239927653316,0.11062113025296039,0.3711814803582039,0.18862619108200923,0.18255099990626528,0.4875332208256308,-0.09385249944515879,0.3938614100073977,0.4936616472608797,-0.3500395989197869,0.10210108451756579,0.6141948039146538,-0.4932491711668649,0.0,0.6115584535318423,-0.4445394294123367,0.029516733938498477,0.4942514513460393,-0.28786588488174514,0.051500512178325485
5,0.16666666666666666,0.3726433043323689,0.19016152349886475,0.18167669922355945,0.3726433043323689,0.19016152349886475,0.18167669922355945,0.36805019880696654,0.23635542587855873,0.186887078709842,0.3553362843518877,0.2947892510733671,0.19774426738523604,0.3727829167393938,0.43459726812485583,0.19430386184041215,0.37902440597139214,0.5573829177451015,0.19799107834320154,0.3988787823840585,0.6360860255803892,0.19861480797753103,0.4007820088432456,0.6906135066131915,0.19942693364244307,0.4033858692281318,0.7315159065191463,0.2043472906577545,0.45605491499190065,0.8912923244862724,0.21178942053529207,0.5831979916875627,0.8317749479258082,0.2878608254813083,0.5658557008404784,0.8633915366317367,0.2714350780290718,0.5878354271973458,0.8717363504482021,0.24345893999316037,0.5493113923368983,0.8484479179921036,0.27560985662069054,0.5369081045518335,0.8501779303985431,0.2543435257742901,0.28034193809613817,0.5309550348677826,0.1480988075495565,0.488102730165315,0.5505318065723466,0.1706953324083073,0.37250179042805975,0.6673042803999083,0.184481184453698,0.20562841868163415,0.718085717414756,0.1352336743965978,0.2760867048169835,0.45805126398203083,0.13153260262936378,0.09755939338770711,0.33090059281042816,0.22317530745545605,0.41260463737192976,0.6623037050948016,0.17508730303264936,0.5695202419222747,0.7455897132267199,0.13727509021163425,0.7714698510363669,0.589957622659276,0.1076161323933841,0.9322081377256259,0.4517961218738836,0.09790621313809211,0.3726433043323689,0.19016152349886475,0.18167669922355945,0.280653678364361,-0.08730919548183091,0.41090008064511935,0.16102103346333083,-0.3458610150968725,0.1470078506941493,0.2877774517121561,-0.5101760870693614,0.09423967116057587,0.23877664657021327,-0.48099589302948365,0.10093788534529208,0.1704978201588976,-0.2756706541829665,0.10921067712665675,0.3726433043323689,0.19016152349886475,0.18167669922355945,0.4875771213635266,-0.09311592627529769,0.3926605159197004,0.492974949150622,-0.34922977864399773,0.1008289508545133,0.6059831009081691,-0.49732771994066516,0.0,0.6016942168039389,-0.44902672967550683,0.029792613408473806,0.4951013547710789,-0.2876834698756918,0.04971730184480333
6,0.2,0.37422532545254394,0.1917232606965478,0.1801472197075916,0.37422532545254394,0.1917232606965478,0.1801472197075916,0.3697131766776852,0.2379192113911095,0.18540479513894043,0.35711262768975904,0.2963795852887635,0.19624735942066507,0.37457549908837645,0.4361760174843832,0.1925194518951891,0.3813490459962514,0.5589341260052846,0.1956039300447054,0.40088845732358247,0.6377112426514228,0.1961252885792489,0.40287195393130054,0.6922366234514286,0.19681130332346475,0.4054145157749948,0.7331450295067464,0.2017117388270333,0.45742020174860515,0.8931332150804558,0.2090630264532111,0.5839204929953415,0.8325509817620024,0.2852977719822581,0.5663666120294606,0.8639617116231915,0.2687228388927659,0.5880852920961211,0.8723470945624355,0.2407204626848068,0.5499892974177301,0.8491031003101244,0.27301086285101106,0.5374552939746181,0.8507745993235774,0.2519328033754296,0.28247261795358913,0.5323419208459892,0.146184759298505,0.49036610872656045,0.5529560859449869,0.1679770861024687,0.3754398400366731,0.6688133794930168,0.18162199049307365,0.20845589476063672,0.7199208529148502,0.13311304215733982,0.27759794199235294,0.4595600106546898,0.12938074394421217,0.09910417273562498,0.3322339421373702,0.22084782410392817,0.4142044818321747,0.6640582918970483,0.17266827991446784,0.5712163586941836,0.746988833588815,0.13450640253198418,0.7800414967259726,0.6080921018906688,0.09834838186603084,0.9522755055968485,0.4932394991218841,0.0816865455216522,0.37422532545254394,0.1917232606965478,0.1801472197075916,0.281525390335055,-0.08586340385899663,0.4089437927053792,0.16160618130172022,-0.34458576997081763,0.14534596303071878,0.28479679112154827,-0.5113952862414352,0.09326744021863398,0.23579265439562974,-0.48223013640830004,0.1000148034331529,0.17049322293278127,-0.27459317034624714,0.1071029938618447,0.37422532545254394,0.1917232606965478,0.1801472197075916,0.4874091575350189,-0.09249732681671455,0.390760111682062,0.49198637585052585,-0.3485363383955773,0.09885757743070224,0.5954310394000638,-0.5020509888219774,0.0,0.5897679733737571,-0.4540277065387127,0.029982549603833383,0.4959710351173652,-0.2877277236433814,0.047253597820471796
7,0.23333333333333334,0.37575801413411675,0.19320852684261666,0.17802268027911516,0.37575801413411675,0.19320852684261666,0.17802268027911516,0.3713156279292182,0.23940372499683016,0.18334090234544675,0.3588600072337234,0.29789889971802014,0.1941567875382087,0.3763409654808183,0.43768095622168435,0.19009616512225183,0.38374751685072384,0.5603969246105186,0.19249190497559437,0.40292390834136493,0.6392569518697591,0.1929151760392248,0.4049894225241904,0.6937798870673064,0.19347604970820462,0.4074528942024903,0.7346934720825646,0.19836971986001484,0.45869593767077993,0.8949191354270999,0.20564496291377105,0.5843692940404713,0.8330748736289425,0.2821378872138726,0.5666323809886632,0.8642876674202863,0.26539946015400456,0.5880669680216547,0.8727021199495051,0.23738516048898153,0.5503994140311644,0.8495134819512797,0.2698088645249185,0.5377290269215236,0.8511265772614505,0.24893154245779114,0.28466381179480915,0.5336280481062015,0.14358365668686227,0.49269091992185854,0.5555042219360927,0.164523052082356,0.37855442938505934,0.6702254575467801,0.17800321506181893,0.2114116400689267,0.7216698628166363,0.13044104827062428,0.2789746469336055,0.4609321025228982,0.12662365552556543,0.10052883027747199,0.3334145284214803,0.21791965577845548,0.41577713593362264,0.6657506080674584,0.1695466095859738,0.572909072217484,0.7482600413761864,0.13100215817580457,0.7877319615550439,0.6249793134895105,0.08852195814922041,0.9697513469542044,0.5319062544598249,0.0652638397853599,0.37575801413411675,0.19320852684261666,0.17802268027911516,0.28227941510083865,-0.08450872237242361,0.4063444705662609,0.1620629358195736,-0.3434424414836077,0.14308556993546398,0.28120498033149954,-0.5129279167153105,0.09181192857389239,0.2322555424973615,-0.4836835621830863,0.09860104830097165,0.17029736134584483,-0.2736704056730985,0.10436436298984685,0.37575801413411675,0.19320852684261666,0.17802268027911516,0.4869456697385699,-0.09205988394588563,0.3882221644609306,0.4907335489824792,-0.34797820630616677,0.09621032658447828,0.582969815931434,-0.507025716977778,0.0,0.5764622357555702,-0.45907482558018925,0.03004026574135253,0.4969376223279868,-0.2880287514689568,0.044179958688174106
8,0.26666666666666666,0.3774257974339709,0.1946497598504515,0.17516417077101065,0.3774257974339709,0.1946497598504515,0.17516417077101065,0.3730457423001125,0.24084173343336987,0.18055563063518681,0.3607472725050138,0.2993740552480128,0.191342887721526,0.378235388398307,0.4391409730694425,0.18691983883527982,0.38632772618419453,0.5618034682108355,0.1885766072565481,0.40510004219930446,0.6407530771170661,0.18891434328465323,0.4072578368107636,0.695272819607916,0.18935447102828207,0.40963294786262733,0.7361902204715554,0.19425471657559243,0.4600162712993909,0.8966759545146409,0.20147723156218822,0.5845251798660777,0.8332950824644099,0.27845170228255484,0.5666230050989393,0.86432018722386,0.2615506696550667,0.5877783126097319,0.872759074759124,0.23353139425640312,0.5505273639740902,0.8496382731692179,0.26607441963270795,0.5377235187055105,0.8511980283803413,0.24539828067435665,0.2870307788507966,0.5348725287629479,0.14018688322457434,0.49518632295265486,0.5581705019998043,0.1602788993610323,0.3819807878410013,0.6715700394694608,0.17354704238866914,0.21467000566992414,0.7234043243990639,0.12705396767594135,0.2804081196099296,0.4622483450405786,0.12313422113491523,0.10202025512678799,0.3345361462517813,0.2142727705823836,0.41746287141155863,0.6674033267571109,0.16564836377856437,0.5747347643476015,0.7494377404605014,0.12669684591597868,0.7947014268560173,0.6397930605891042,0.07819318444543492,0.9848947904063634,0.5661273376877555,0.04878755000931148,0.3774257974339709,0.1946497598504515,0.17516417077101065,0.28311776315773657,-0.08320421430753064,0.40298217224029814,0.16259291619125876,-0.3423823787162946,0.1400987251988287,0.2773189956068619,-0.514634176707013,0.08970955753250624,0.2284909882628664,-0.4852079891094934,0.09653031321266922,0.17017253099819543,-0.27285134720073917,0.10087832418232157,0.3774257974339709,0.1946497598504515,0.17516417077101065,0.4863753020293253,-0.0917401989886283,0.3849373162950708,0.48936051413320913,-0.3475289960021428,0.09281030942289337,0.5687950302898154,-0.5119700294183535,0.0,0.562020858993461,-0.46391515294944125,0.029957143212769162,0.49786100594057325,-0.2884670109915064,0.04042212062889044
