Objects
100
,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
83,0,-0.374449,-0.912718,3.051476,-19.123846,-33.704006,671.733276
84,0,-0.374302,-0.913118,3.051500,-19.123255,-33.701176,671.731750
85,0,-0.374120,-0.913206,3.051231,-19.131065,-33.708717,671.723755
86,0,-0.374598,-0.913623,3.051405,-19.136467,-33.716763,671.727905
87,0,-0.374445,-0.914161,3.051497,-19.138411,-33.730167,671.718201
88,0,-0.374579,-0.914051,3.051713,-19.157139,-33.741085,671.725830
89,0,-0.374664,-0.914683,3.051661,-19.171844,-33.741871,671.722900
90,0,-0.374684,-0.914796,3.052226,-19.188026,-33.729816,671.729187
91,0,-0.375058,-0.914771,3.052483,-19.211073,-33.667198,671.727478
92,0,-0.375382,-0.913723,3.053433,-19.220627,-33.539753,671.743103
93,0,-0.375381,-0.911075,3.054565,-19.230106,-33.340675,671.747009
94,0,-0.373678,-0.900021,3.066631,-19.508326,-32.878857,671.629272
95,0,-0.376657,-0.897976,3.060333,-19.264824,-32.453056,671.898926
96,0,-0.378451,-0.886015,3.066758,-19.248037,-31.666145,671.985046
97,0,-0.364128,-0.874468,3.064598,-19.082758,-30.673862,672.132568
98,0,-0.345955,-0.849851,3.070867,-19.019716,-29.319603,671.973511
99,0,-0.339895,-0.817883,3.077075,-18.974613,-27.238464,672.557800
100,0,-0.334172,-0.795352,3.076136,-18.733068,-25.142361,672.491394
101,0,-0.358961,-0.797486,3.078079,-18.494888,-22.302042,672.897583
102,0,-0.361550,-0.790946,3.076066,-18.447952,-19.061008,672.807922
103,0,-0.353790,-0.797484,3.049127,-17.646170,-15.519429,672.883484
104,0,-0.359363,-0.787239,3.045424,-17.445732,-11.226475,672.714478
105,0,-0.371978,-0.784672,3.025428,-16.590607,-6.410090,673.027649
106,0,-0.381144,-0.775081,3.018420,-16.115881,-0.870058,672.941162
107,0,-0.389027,-0.762852,3.001557,-15.177396,5.038782,672.969299
108,0,-0.389598,-0.738213,2.988142,-13.973208,11.434212,673.017395
109,0,-0.372891,-0.696086,2.972698,-12.586759,18.539734,673.201843
110,0,-0.377518,-0.655699,2.966504,-10.848051,25.980640,673.354980
111,0,-0.377118,-0.627899,2.949097,-8.897995,33.921509,673.519653
112,0,-0.386491,-0.610234,2.934361,-6.470766,42.484550,674.129761
113,0,-0.368591,-0.549479,2.909415,-3.599708,50.913464,673.967102
114,0,-0.370854,-0.502646,2.899024,-0.564324,60.034458,674.089966
115,0,-0.354705,-0.481591,2.876515,2.814414,69.762466,674.449463
116,0,-0.388319,-0.405141,2.875600,6.593972,79.240013,674.842041
117,0,-0.334912,-0.353511,2.849481,10.564050,87.759056,674.848022
118,0,-0.332674,-0.313114,2.835609,14.687201,95.624878,675.291199
119,0,-0.316648,-0.277099,2.819178,18.525301,101.804413,675.570435
120,0,-0.316525,-0.253351,2.812983,21.690500,106.411324,675.887756
121,0,-0.309755,-0.204280,2.813660,24.044985,108.899704,675.608948
122,0,-0.324246,-0.204204,2.825402,25.693975,111.161308,675.820313
123,0,-0.306109,-0.208652,2.806713,27.139523,111.987137,675.274780
124,0,-0.304838,-0.193359,2.810304,27.714525,111.844345,674.645630
125,0,-0.300896,-0.250538,2.805576,27.989668,111.854073,674.888184
126,0,-0.299730,-0.254588,2.816790,27.785604,111.005920,674.841919
127,0,-0.300891,-0.256733,2.821734,27.660069,110.403130,674.880188
128,0,-0.299474,-0.252406,2.823935,27.768520,110.587334,674.896606
129,0,-0.291037,-0.243696,2.820278,28.219145,111.567253,674.814514
