x,y,z
-10.36168805993654,-151.0226092472368,-154.4691290220719
-21.201791964086027,-140.89923222687253,-164.08719274928876
-32.32567967264282,-130.12528947877752,-172.84556788384157
-43.718341485131305,-118.76649760828172,-180.6830656286138
-55.098128524618744,-106.74846306096072,-187.53210670560065
-66.49378168753461,-94.46543493324816,-193.2495445496529
-77.4980483637049,-82.25723435568682,-198.19342488412167
-88.0832037087842,-69.81661764908654,-202.0653058981884
-99.05758754307524,-57.11254268377638,-204.07808108111067
-109.32651536763723,-45.29684264549542,-205.69538021988888
-119.61023282050407,-33.656233101456905,-206.20423445331812
-129.51790844847477,-22.263040383517477,-205.69155833411514
-139.43439276839706,-11.506502468563554,-204.28083921172652
-148.19606052865305,-0.8100307780753155,-202.2497939873715
-156.8704993321084,8.925246861678147,-199.71014044975277
-164.9901983897876,18.37496009128995,-196.9112933024087
-172.61245523846856,27.19699705889525,-193.50770454426947
-179.64826852758148,35.50752878132937,-189.68063588539667
-186.3154512906503,43.170417439808716,-185.43765977050907
-192.8322607680908,50.42159262682719,-180.93510223049657
-198.78443249722818,57.213895176846336,-176.1952576851411
-204.62954982334676,63.28226995213868,-171.43412079716313
-209.82461705484698,68.96989159502061,-166.48750627254844
-214.9506725618212,74.17723781695781,-161.80708906146333
-219.4753161576116,78.97498149587943,-156.83951519798188
-223.68396615740932,82.96915364522658,-152.12573639961943
-227.46544785016025,86.52589058628291,-147.57060057151853
-230.85975710211548,89.74856380762856,-143.31125333767272
-233.952193637539,92.53894638854251,-139.21718849695662
-236.86880856025454,94.8759057926386,-135.6610831128528
-239.51281408757796,97.06480471645648,-132.14958938890277
-241.87260450457168,98.92344212558692,-128.8857472155687
-244.16528206817188,100.36016219245016,-125.7201988492659
-245.97503151489263,100.80136272725997,-123.43178150273388
-247.6359399713039,102.0303299883883,-120.99149601512818
-248.9514949794063,103.4019256577426,-118.96335016794183
-250.38663824742585,104.43733305072055,-116.79543494136533
-251.2241131860563,105.35385614070822,-115.09299272958742
-251.62710362188892,106.44744661071832,-113.80889174063168
-252.29211613655283,107.1229919741852,-112.11004968892462
-252.95163748192113,107.9995944009845,-111.3396715437841
-253.27073827579898,108.82367170903728,-110.57980767368349
-253.37725324387756,109.27200156509639,-109.89579910474663
-253.35895467576313,109.67141435178735,-109.72048052232935
-253.24864276547405,109.95426321715843,-109.8303782122764
-252.6996746677125,110.28244221335638,-110.53191943092338
-252.43022491352338,110.5878850690716,-111.29576051117897
-251.94838517068078,110.59106182094013,-112.09051820324976
-250.98043464896304,110.73585475403547,-113.33373773917515
-250.8217064701279,110.65115009177043,-114.51468180509482
-250.17938283364654,110.67251862058015,-115.98116466064948
-249.566751545805,110.64355543099236,-117.29806422296451
-248.8764891338017,110.57586629372906,-118.30595428554375
-248.02700202340822,110.61553145755136,-119.87677657455424
-247.47152952997115,110.58422265030345,-121.04922318232343
-246.32698825387786,110.66431506225535,-122.34784823704263
-246.009917823877,110.52557757339525,-123.49998668469243
-245.2241945706782,110.76034971529168,-124.89063838811398
-244.3474850154718,110.47218186963448,-125.53715447959212
-243.471456114648,110.67190195667285,-126.54237171078489
-242.6693513534846,110.67215495186599,-127.50762431256248
-242.17620436497057,110.74388601755766,-128.06402215237495
-241.502885516717,110.89673952242106,-128.62321315470217
-240.58501278250537,111.7757559235032,-128.79655880599307
-240.05029505620632,111.93899211057612,-129.34382039953016
-239.3700172014804,112.15466374256187,-129.74130757899638
-238.95766431114967,112.19231247963728,-129.91615527809927
-238.26372563924147,112.14729497093674,-130.1400850069042
-237.43526895399924,112.48374280336532,-130.51636456466463
-236.9375470986675,112.30164723239079,-130.83526484601566
-236.03789984095732,112.04133599626641,-131.0986991113739
-235.14053139253403,111.85037722978109,-131.76233633084075
-234.0950122470005,111.3202813093759,-132.2560633234823
-232.6071836415728,110.68214422116444,-132.91712372600068
-231.08885904843578,109.97326178562491,-134.25857021613137
-229.19065306230556,108.90878689678334,-135.94199959195998
-226.83990675301283,107.40657182524285,-138.1956177507643
-224.108166828567,105.93984708552762,-141.20950242877734
-220.92670738657228,104.149177782464,-144.79109623691056
-216.98295905907503,101.98706411162857,-148.99019348912384
-212.50615970149994,99.564586980375,-153.99810994020982
-207.58810017953525,96.68630641126538,-159.5571218641819
-202.33297888929332,93.38734008952679,-165.82364485216476
-196.1946764222252,89.54963720810576,-172.58332270443202
-189.67207878946311,86.0681942659628,-180.0958043860096
-182.56688064749795,82.30185767839646,-187.71877231224494
-174.80947251439238,78.39616674163267,-195.88678440035937
-166.5500275648065,74.82905204235954,-203.70869888232323
-158.2148501369166,71.74546570037194,-211.44669559108343
-149.54569888180902,68.47481992260532,-219.2366020779457
-140.86882515592902,66.07158923008535,-226.7762212224991
-132.04600134383537,64.04691920963535,-234.44683245400824
-123.00989229841832,62.41505953798969,-241.93631762674227
-114.00717045663055,61.90075647462402,-249.63870535429714
-104.93127286145958,62.141474886829315,-256.90941996006586
-95.83339005035151,63.339024447292104,-263.66760369986696
-86.7714459078174,65.23713874304644,-270.0007666365832
-77.6707486854651,67.55655471082605,-276.1028485560016
-68.72393809457594,70.54667611356456,-281.8275838848083
-60.47842342933063,74.4878797099708,-286.83699133855566
-52.62656202688643,78.90796465500603,-291.4899917998375
-45.348683153884,84.02116958604165,-295.3595349469542
-38.1148057800136,89.28789333006091,-298.94479624868586
-31.96880042014243,95.4548061989617,-302.03277665385735
-25.46310003909801,101.2957138307645,-305.12038848766065
-20.127851715879757,108.00370101363626,-306.947744999379
-15.116475343049274,115.000214756324,-308.25510128131486
-10.441538952257389,121.50540481273197,-309.3942771379618
-6.211114923828774,128.26454123911157,-309.8679501528716
-3.2213324443350757,135.5255583265461,-309.81532116616586
-0.33644247539328376,142.32401222762843,-309.39159744941185
2.081151365923631,148.80977534111793,-308.6327391280888
3.8339475344264997,154.85095164502673,-307.80652941175595
5.209408660822703,160.70419938640168,-306.6327882435237
6.138449530369684,166.0851926291341,-305.3311639375968
6.751513909553239,170.9807477126725,-303.88382734162565
6.6853358838975225,175.36783133269768,-302.30723410665314
5.842852383979022,179.99261480638137,-300.1237138572503
6.023931364670858,183.07979664742555,-298.71470123917584
5.500067986678289,186.1508491871644,-297.0219459764887
4.139361162839464,189.2376914815453,-295.0900155938109
3.1111683554455,191.6038273746198,-293.7761190961851
1.8685343468943074,193.64543413322536,-292.3652118292389
-0.19293048201200236,195.84036699299799,-290.88522487397927
