x,y,z
444.81775742569243,37.01070413957939,42.669862030224294
444.46438814362887,35.997212846264574,25.665561209433235
443.4542126139203,35.04898646853428,8.766647444973842
441.75408624497845,34.09114463622723,-7.923008491100973
439.75200878760927,33.35882955261275,-24.792565694527866
436.99387561526646,32.49635427471628,-41.145604899239515
431.9855425798536,30.357540048444775,-55.754003117875754
428.2008253874791,29.67652639957157,-71.66339873538504
423.8152301489981,28.92835696449015,-87.39442055012637
418.70765732018197,28.059439795483286,-102.30349286506885
414.1029949421227,28.162980491175972,-117.43369748020427
407.446858817734,26.636510561254227,-131.490013918258
400.96457777162857,25.705983341404703,-144.95834387423088
394.1791440617761,25.072946666546954,-158.49288393640018
386.70000765813165,24.069656882140976,-171.020698895828
379.00723595817453,23.31925011602152,-183.3404113715501
370.81386795571484,22.274031833643676,-194.73710269831508
362.81903699373987,21.783524971265024,-205.81983486474246
354.12117404759056,20.94276395665736,-216.4967891386093
344.61573143097866,19.569866605822767,-225.40238448490186
335.3103595037081,18.45503623278205,-234.68816472708704
325.40960709283405,16.965676935906686,-242.68963674831207
315.3156896888532,15.440619171706885,-249.92127442556102
305.04360022278155,13.770679688450173,-256.48275417948844
294.5717577448309,11.980831346249829,-262.1009036352905
283.7289358736837,9.962217276532215,-266.8494020468336
272.68067616308974,7.803898357475873,-270.66249154603884
261.6469531045689,5.534128949558635,-273.81719424293465
250.29982362327866,2.9876850668936186,-275.8414335785137
238.82595406104878,0.242307023199146,-276.948307573369
227.37617745458198,-2.6768406961821256,-277.07296763263867
215.7038842068015,-5.780356460268422,-276.41105753095076
204.0568161800141,-8.95836007256537,-274.8781574355935
192.37932147335903,-12.195017486707002,-272.58471321967727
180.7561902688201,-15.382791826040602,-269.6636379834597
169.1069371871166,-18.711151823959312,-265.7783384567897
157.56974585396455,-22.01265732804427,-261.15582878279315
146.06138049524725,-25.38877943040643,-255.8725087609589
134.82984347513172,-28.81141200521654,-249.8403614582603
123.44839443021186,-32.37232126269805,-243.32285554755276
112.58171127824534,-35.87794462729482,-235.97202543067374
101.76754503377276,-39.39172044058216,-227.999788529876
91.1315635143356,-42.94520082548479,-219.21002846294095
81.10611992614966,-46.20359695896718,-209.89386546990818
71.06141305022288,-49.64749722014767,-199.68448800972737
61.87655778729689,-53.01304480249519,-189.62363697710907
52.477178005134505,-56.29691692245501,-178.86042372806673
42.495242755522014,-59.30346786081191,-167.03827800375097
32.966094077849874,-62.22320775487913,-155.2736848595846
23.13039696716484,-64.90675745392821,-142.762859154313
13.145386937630832,-67.36883676645505,-129.80553764531578
3.7501145414628922,-69.64479360850328,-116.61666184539808
-5.875337843747104,-71.22974447587956,-102.69604502957895
-15.039496665868086,-72.85748839616599,-88.58880684311293
-23.892618314756945,-74.23142686473557,-74.30173442488945
-32.698366143626146,-75.1655292293467,-59.78886864897959
-41.437612577998664,-75.7136188164626,-44.929123086982145
-49.944088200678934,-76.11141081955486,-30.28824394211324
-58.37081820283552,-76.03636464491899,-15.715393597534558
-66.89079317860542,-75.3013918759101,-1.061980242278878
-74.94142692330766,-74.46900038780063,13.791774880800403
-82.4739499799757,-73.26353935415,28.212216685630892
-90.57934130128055,-71.58812911389407,43.011837460886
-98.4455908125495,-69.59375043464422,57.47425016982402
-106.26972260559157,-67.08226645398656,71.66372645922343
-114.63012626465604,-64.32389436947426,85.19378388810287
-122.93690768902513,-61.10216649707718,98.4102694766284
-131.52315534238716,-57.447914841342936,110.90156283896795
-139.66798812925475,-53.514646250323494,122.7174563502831
-147.86487455909673,-49.15817599545687,134.1040225800657
-156.60447279314613,-44.33466246165335,144.70508704224085
-165.01910085028788,-39.4035605037144,154.7898575855436
-173.53901406957033,-34.111339030820886,164.28689052621303
-182.2470937257502,-28.668879024756166,172.62242629965658
-191.07598367699876,-22.906376235770153,180.36279311197518
-199.9623643283677,-16.85990137957333,187.21084538911396
-208.83425674165449,-10.650521200362505,193.11857759957957
-218.00366567502766,-4.273434847274075,198.4864031616753
-226.8799656747894,2.2674715299091304,202.5271502469118
-235.9753269128704,8.965298862444229,205.93249398262492
-245.08854672122234,15.623635780850805,208.35379652105598
-254.28723626173365,22.376464409234245,209.7772944339531
-263.4654794055333,29.095921070535724,210.19273851120442
-272.69250561817364,35.856195697845465,209.79165525765006
-281.67936927905293,42.38977425291057,208.4124490743568
-290.5890761339807,48.841102904285776,206.02524329375638
-299.40033811695105,55.072000807046265,202.64073791540886
-307.6434363701027,61.27679886129488,198.82513560902862
-316.2986191003969,67.05068030867483,193.3764325729053
-324.35359144363883,72.63274575463277,187.45870439426676
-332.16310065680807,78.47611473099084,181.0417271801989
-339.62165604984364,83.55410107525233,173.52838575564283
-346.6545832003742,88.52378500728935,165.34545388206357
-353.3325442038375,93.18678387567172,156.42584342920122
-359.46357691942126,97.55023984855688,146.97842846455478
-365.29098469392164,101.88695863049827,136.927800773208
-370.52660104386445,105.66367133978542,126.36489602555616
-375.1416242338154,109.12652660330878,115.35340981214449
-379.33610432054763,112.13329962252669,103.80988457742023
-382.9920230524918,114.85972689920948,91.88231534059673
-386.16570808024755,117.10983504780779,79.60135096180147
-388.7862590286443,118.88269891871732,66.93095473857875
-391.84815379738427,118.78392560318525,52.73103772317472
-392.53902100661577,120.4966328114906,40.33111514599159
-393.44427021076615,120.69804653059555,26.636705859720223
-393.77846542270606,120.6349536304457,13.265395745521118
-393.29367785273377,119.76306939932101,-0.6641468060252009
-392.46545039592775,119.03667111538789,-14.350988845848633
-391.0405939007439,116.72759725968172,-28.894887018715053
-389.0238972271353,114.99619646030987,-42.686649165017116
-386.56413079185904,112.48652219788676,-56.779098869908694
-383.6550176671507,108.89914751926392,-71.17898580533324
-379.8476615263344,105.73829753004668,-84.97876884831771
-375.4943152441076,102.15401198414736,-98.5325961169342
-370.6991116130591,98.12312490096713,-112.05019110996045
-365.0831451610193,93.86652574426591,-125.30812207458371
-359.2725913399987,89.23994492348356,-138.3241889739536
-352.6926533607687,84.49015587428255,-151.03339715607717
-345.6552030850279,79.46232287838973,-163.3921707490024
-337.88799394208377,74.68688299692235,-175.15650757617027
-329.7625751556649,69.23549163338032,-186.6684931284326
-321.30712762924327,63.496476201400924,-197.7254148448278
-312.59566360091134,58.300388911053574,-207.53424977664645
-302.8020273489875,51.85471846212715,-217.32607241223877
-293.0860959030457,45.91754729104116,-226.16008192617733
-283.21881033501495,40.067067343758026,-234.0181896916415
-272.783419923579,33.96279683172611,-241.3150041446479
-261.96791523967937,27.721887161493555,-247.97433266555458
-251.3611482260638,22.354246029911906,-253.5008944049389
-240.17529747862707,16.358608296272678,-258.38665546328275
-229.2875076065484,10.74982754066366,-262.3753039352432
-217.8446527113801,4.266440224362896,-265.84791155797734
-206.42836780956236,-1.7736769137254669,-268.3116827659071
-194.59985230390933,-8.100352302457509,-269.8035983643708
-183.37986910292577,-13.957922283279231,-270.6441967854596
-172.52602750711625,-19.545862102080946,-270.276177513907
-161.63179375369538,-24.95279373748417,-269.12199593769947
-150.84447998394447,-30.630741353847156,-267.18583778153425
-139.97917690079169,-36.208716982651254,-264.12272250574415
-129.49933382376327,-41.493090714535015,-260.1407629286234
-119.35382395307462,-46.59634916097377,-255.3303009738811
-109.40461746777603,-51.697673210161156,-249.72814401593814
-99.5796145575849,-56.63234291185654,-243.32168855830014
-90.55451290795989,-61.023168841805045,-235.98958065081183
-81.30723379149578,-65.34349959350561,-227.91220502068836
-73.16424777338773,-69.10913881836461,-218.7903779819933
-64.84061576384124,-72.98284572073385,-209.27467381251154
-57.48538541209615,-76.47553912896933,-198.5938235708611
-49.84876172107809,-79.97124261247859,-187.4847349916688
-42.679193325066365,-83.20992297286125,-175.49897492126092
-35.849868908973974,-86.24739928338738,-162.64392412837492
-29.047014007232562,-88.96336221432625,-149.4743999816567
-22.736879185037097,-91.23947095215306,-135.39070455943556
-16.564906386198118,-93.33994452864772,-120.92822835013567
-10.793644030834486,-95.11554483077441,-105.74889645952908
-5.056589045262285,-96.59899162709598,-90.40099394835693
0.1635223581877483,-97.70748007063742,-74.22655157952681
4.765981081410871,-98.43462985579811,-57.14752650631772
9.555468873806689,-98.76117251673156,-39.425453140589525
13.917315108222226,-98.87707554728865,-21.32534718556235
18.001893279691245,-98.47237452148318,-2.893855904685097
21.730655776911448,-97.73490884409159,15.810666768970805
25.999878584666078,-96.85169428040183,34.576024194782576
29.722486236227212,-95.15588174664208,53.54782723705944
33.29778771163711,-93.35679117411007,72.88910288160218
36.959626626717636,-90.41877208082315,91.87526855866963
40.196386190477966,-86.68175958719951,111.65504662420994
43.89462593116309,-83.31094207432079,130.41553227304462
47.676631429856315,-79.2199972686567,149.24677371263897
51.75396782364649,-74.8153172610696,167.63149130378133
55.578580172580615,-69.99301481621103,185.96476741476408
59.54938697680345,-64.83136058497644,203.89761010230131
64.0868204355364,-59.50282271550839,221.41011617146887
68.75996511752112,-54.04124600875571,237.7487197354992
73.82509202107397,-48.121882206460896,253.58295624990387
79.41081702705125,-42.15007645657681,268.49408097387277
85.47522254818531,-36.109731924993184,282.5501537634311
90.80101457788936,-29.25010959367819,295.8920782925502
97.6337819401785,-23.275168160102567,308.1017816199062
104.95762357713835,-17.37825259688009,319.4110081505769
113.35735475806689,-11.810253544403736,329.86476667040733
123.03065766205606,-7.282218909004541,338.8555008762344
132.19322677486855,-2.0501803229572033,347.29724995762115
140.7536452885525,3.798728699892422,355.0314263356404
151.42569578634726,8.157771476307289,361.25546998912046
161.95640819798706,12.506591303711843,366.4955842157327
173.3849375778708,16.155805275309717,370.2081276683339
185.37193729909984,19.366570120136203,372.8733494410809
197.91719777836062,22.183128554355903,374.0326806142622
210.87820472862842,24.61831421525153,374.36854174183304
223.32890908392858,27.471945823184342,374.0098659996951
236.93257143761434,28.994503901714666,371.6735185077831
250.40672600421027,30.49327400156892,368.88375723744844
263.53155115413887,32.29440681519577,365.1260437582232
276.78501373098044,33.270235314619185,360.0159047197794
289.86860547048195,34.26589028818887,354.352713307401
302.62698435905736,34.79131566535216,347.4236731474092
315.02753766508545,35.225141709072204,339.58576190641725
327.2533916956888,35.36341749371354,330.64476632018363
338.962939045809,34.94275721001327,320.13165776511073
350.31392723570923,34.578911119415466,308.8788413723737
360.79603933082717,33.51884767272281,297.17932450259536
370.669422244036,32.46708299703073,284.5061494794113
380.10515952264996,30.889294448991677,270.35305134817895
388.608382497173,29.05474819716585,256.0901664226874
396.2033927547749,27.474287028586673,241.17808064751534
403.0627814278889,25.49777564284193,225.72720052695377
409.02157220373897,23.872999256491767,209.68322017282162
414.13516031688187,21.646786979458398,193.74522993924666
418.278376922097,19.738935669598845,177.35576231320078
