x,y,z
33.26046502468026,39.431440976841486,125.28361119485157
36.80902563767387,40.828633163711174,131.56307940523232
40.13734729567457,42.14800245619722,137.62058127924797
43.611382664944244,43.75067917860838,143.12774976341916
46.68613442089841,44.86883041742249,148.51492203986072
49.865827141044036,46.08972542576885,153.7184411623607
52.90363829514226,47.18896706505984,158.46741889732982
55.66633431248147,48.596059168157126,162.50611066834176
58.11356898202396,49.27546526424976,166.515217876453
60.40268827005232,50.3004402210513,169.91657249130026
62.35064570210582,51.235608320269876,172.95449903763495
63.949843151037925,51.818195377457414,175.4766114454867
65.38989328123805,52.27834404713235,177.6243605660925
66.7864368324621,52.52415827867776,179.40856923419062
67.87817189506845,52.28747505414481,180.8562250862651
68.44580078504745,52.38336848443896,181.81675910433626
68.85804755483875,52.403084019025755,182.28403888675518
68.99247289184652,51.9637285589115,182.34747181959847
68.68559851870506,51.443655820197364,182.04376249542622
67.76544508861636,50.680471540692,181.26030005708662
66.96918075396482,49.69967888575002,179.85243825701002
65.24091916439616,48.87838042753583,178.07462756838947
63.602576345763424,47.28079987052047,175.863806105373
61.6135264258655,45.608143992832765,172.94258901695014
59.146785198263814,43.90224092374365,169.53171473841053
56.6473254745496,41.96686000284899,165.75909450990082
54.02932130122679,40.25717267801406,161.32997036419135
51.0913962613337,38.009635721866516,156.77297650114997
48.19920470888485,35.60430647745011,151.96148992617555
45.05639219921483,33.47984417551834,146.42981239966832
41.788794985549515,31.205899969781285,140.4071140074043
38.52985624088515,28.74545028930629,134.13950934129593
35.09069893124939,26.262869257149077,127.4043662718276
31.69086355654599,23.936414578849508,120.24443569708001
27.89269114682969,21.803031191739137,112.5270495321796
24.29706913700548,19.13238558957596,104.75044857764692
20.96325779058887,16.584378440493765,96.73067730173034
17.591176698258295,14.21985623243745,88.48327842372362
13.98073550836557,12.000804185763855,79.94392564385817
10.945255517937198,9.55801065767082,71.29936308752735
7.627055717145737,7.461811953768802,62.31890812134907
4.599503395292089,5.225267314366874,53.43224821509716
1.8327374992191778,2.970726747876597,44.46297374447704
-0.8843985170223618,0.5636957925300976,35.42859030031764
-3.52612909074233,-1.3182889284669272,26.29967437998846
-6.096298824790068,-3.2360904630702407,17.290173542854347
-8.313262222339517,-4.97142643588154,8.21329886997961
-10.617452896611951,-6.7288790356667505,-0.8789966454725118
-12.816361040012566,-8.370829343891955,-9.98719059677802
-14.92193234376225,-10.021742700105733,-18.573853446009366
-16.89166532996029,-11.374566901996332,-27.04738003420738
-18.574849652295512,-12.951795779637678,-35.24433252367652
-20.195411989186823,-14.334400665269413,-43.34730646826273
-21.707811419574,-15.54185856570598,-51.340720308752395
-23.054526969176266,-16.751529145420136,-59.06032076308742
-24.24938064826901,-17.89506855079094,-66.6821980465557
-25.415528279815476,-19.09264491580734,-73.81206686742951
-26.3997028662545,-19.998429294590323,-80.97212353283271
-27.468062245228452,-20.923206011019374,-87.73928235870306
-28.638438347608997,-21.479622321986653,-94.66446522667297
-29.833370222791245,-22.19407809590166,-101.05054004442741
-30.6752008305169,-23.018112430526116,-107.64143551956624
-31.65525290390272,-23.65346342444286,-113.94834076981346
-32.22349093916549,-24.609198553818487,-120.22455035448843
-33.08248206031763,-25.312073739613652,-126.38548094184699
-33.78213985888718,-26.032341353426773,-132.35946229915533
-34.610844850467544,-26.607417591338844,-138.19818274714743
-35.4141262635589,-26.883546846165927,-143.95839857965672
-36.38036929943047,-27.33733638694889,-149.31037998077886
-37.29604809652645,-27.636985021841383,-154.56453998527678
-38.38553680698672,-28.072552673652126,-159.5383581018782
-39.360875462370814,-28.49675410824716,-164.42566166365037
-40.17264980157606,-28.516987575557778,-169.63912685219543
-40.90922624615553,-28.809925573080136,-174.16126084493203
-41.72810055418566,-29.062666732313573,-178.3135142294367
-42.03012607556707,-29.345777410736673,-181.6990280320324
-42.69817841627267,-29.45319352391175,-184.50753627811184
-42.998378860936356,-29.41915457740697,-186.74198428649635
-43.21677804635826,-29.72195829460702,-188.08972170780322
-43.301628230860416,-29.766721677820442,-189.0194851732536
-43.213745163800695,-29.925387222040627,-189.3579020182073
-43.33397740121998,-29.791940225670487,-189.390154727658
-43.127468507161126,-29.794068512589092,-189.08783567922183
-42.537467784831506,-30.207109681575275,-188.06845634412815
-42.34906813808831,-30.222994441865467,-186.93199090567276
-42.045506775600956,-30.278508788097042,-185.5521603975402
-41.888222257601626,-30.266542774462778,-183.81817101723732
-41.58790649663487,-30.450317761151837,-181.69576943641323
-41.32141048792084,-30.48270796058864,-179.50851935861283
-41.1663475822443,-30.385904517852396,-177.02063198118623
-40.837500370578226,-30.35738454912007,-174.40255926626463
-40.63576656697302,-30.492532488945926,-171.29610137604658
-40.39762071550774,-30.501699460332475,-167.81229682475583
-40.14710975495123,-30.45609474567982,-164.13041477371667
-39.780580632204845,-30.547189901170213,-160.01996068869136
-39.526516539576335,-30.52694026952213,-155.44740440870515
-38.97052048134563,-30.412980063232226,-150.83294281681384
-38.35753183971946,-30.23748200012278,-145.56613577612188
-37.787771126909604,-30.117620230530747,-139.8371984444134
-37.26667287969619,-29.75766137566052,-133.91885363018122
-36.52511340989449,-29.43546677350332,-127.5196394499817
-35.684633744712556,-28.994298370203296,-120.79918586242115
-34.65130280491607,-28.599570138255558,-113.58912588997049
-33.78497321109066,-28.09297900554884,-106.13046135913697
-32.926086734577524,-27.573587822376567,-98.30633319375573
-31.95528280895573,-26.897071312899243,-90.29896640848358
-30.706286486180346,-26.12625791025971,-81.92374586308404
-29.325351953499137,-25.309171390241772,-73.43174628014367
-27.873629391492187,-24.3598831119441,-64.74428275559012
-26.0911426737008,-23.174704771704455,-55.882686030528816
-24.355364774569466,-22.270135845524237,-46.70016374390934
