Objects
100
,,Global Angle belly:belly,,,,,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
11,0,-0.029338,0.037602,-1.519279,-1135.608276,-78.004440,1136.960693,-0.038095,0.021478,1.375315,418.232147,-204.511063,1131.781860,0.125626,-0.249115,-1.657349,-1177.602783,28.271164,1334.575928,0.023073,-0.022921,1.491840,463.855896,-315.278442,1385.876709,0.029834,0.221892,-1.407680,-1161.119629,-189.452347,1345.859985,0.120732,0.063562,1.509946,486.186035,-129.302826,1399.536011,-0.046815,-0.639368,0.567410,-878.336731,-197.537964,1477.468994,-0.097487,1.398629,2.915666,160.272812,-73.519203,1484.249390
12,0,-0.042058,0.019441,-1.457991,-1136.206177,-77.463943,1136.713013,-0.038367,0.022373,1.375485,418.280670,-204.649155,1131.940186,0.124258,-0.257049,-1.649954,-1179.019043,29.005816,1334.770630,0.016375,-0.028442,1.487431,464.763153,-315.600433,1385.836548,0.018649,0.248261,-1.394234,-1160.676636,-188.676544,1346.510864,0.063799,0.050294,1.479903,486.620941,-129.393585,1399.710693,-0.045716,-0.604575,0.554703,-861.056519,-195.612625,1480.219238,-0.137170,1.391433,2.897339,148.211487,-74.025276,1484.813599
13,0,-0.033099,0.012932,-1.457561,-1137.169312,-76.848289,1137.120605,-0.039386,0.023908,1.374938,418.294312,-204.838226,1132.133545,0.135995,-0.247806,-1.634738,-1180.396362,29.677675,1334.980347,-0.006975,-0.052766,1.415969,465.794006,-316.084381,1385.377441,0.005106,0.251259,-1.377184,-1160.301758,-187.580521,1346.891235,0.143352,0.073669,1.528441,487.255524,-129.522552,1399.644043,-0.047543,-0.566874,0.539958,-842.957581,-193.467941,1482.811401,-0.167045,1.383468,2.878028,136.242767,-74.323952,1485.129395
14,0,-0.031673,0.023319,-1.482426,-1138.280151,-76.354782,1137.297363,-0.039018,0.025729,1.375140,418.281189,-205.037231,1132.331421,0.112508,-0.253804,-1.632286,-1182.065796,30.307455,1335.294800,0.012220,-0.030258,1.472095,466.240234,-316.574524,1385.612549,0.021943,0.222141,-1.370084,-1160.872925,-186.795258,1347.018188,0.127786,0.059903,1.525826,487.528900,-130.008408,1400.139771,-0.042014,-0.522909,0.523534,-824.093567,-191.324448,1485.338867,-0.265029,1.407547,2.861277,123.640099,-74.314331,1485.391357
15,0,-0.030955,0.024371,-1.482173,-1139.114136,-76.019379,1137.387817,-0.037846,0.028582,1.375580,418.224365,-205.294128,1132.628052,0.124266,-0.244240,-1.627038,-1183.259155,31.070801,1335.393311,0.007684,-0.042175,1.472422,467.158173,-316.751343,1385.856323,0.019650,0.246126,-1.371519,-1160.603027,-186.132019,1347.387939,0.137911,0.051374,1.528270,487.832794,-130.431534,1400.679810,-0.041274,-0.485137,0.510835,-804.763062,-188.807327,1487.205566,-0.301698,1.393593,2.848445,112.147339,-73.937668,1484.611816
16,0,-0.080739,0.034117,-1.419152,-1139.950073,-75.720589,1137.357422,-0.035656,0.028730,1.376477,418.266571,-205.406845,1132.638428,0.123868,-0.253131,-1.628432,-1184.496460,31.674347,1335.429199,0.011251,-0.029347,1.478993,467.713287,-316.901489,1386.166504,0.025654,0.237595,-1.364048,-1160.271606,-185.173416,1348.142212,0.127693,0.076821,1.518277,488.506409,-130.634811,1400.392212,-0.080821,-0.427114,0.491239,-785.572266,-187.605270,1489.626587,-0.330644,1.404054,2.799533,100.109016,-73.258514,1483.859863
17,0,-0.052724,0.041024,-1.456318,-1141.152954,-75.644516,1137.338989,-0.033263,0.030453,1.378526,418.256470,-205.627411,1132.767944,0.119592,-0.247368,-1.606402,-1186.140991,32.177361,1335.589600,0.010425,-0.034045,1.483789,468.726471,-317.459595,1386.139160,0.025742,0.241092,-1.374034,-1160.995483,-184.278107,1348.080933,0.124861,0.073544,1.512953,488.781586,-131.249023,1400.935059,-0.074234,-0.367548,0.488623,-765.375793,-185.448059,1490.157104,-0.349030,1.402266,2.753874,88.381531,-72.443161,1482.620117
18,0,-0.075344,0.046313,-1.432073,-1141.469482,-75.209755,1137.484863,-0.032325,0.032016,1.379828,418.221161,-205.856049,1132.891602,0.117562,-0.247815,-1.594203,-1187.555054,32.739365,1335.920532,0.042165,-0.012961,1.516581,468.444214,-317.365875,1387.066162,0.000842,0.267171,-1.341704,-1160.128296,-183.464081,1349.407837,0.120523,0.067609,1.508692,489.058502,-131.589569,1401.091797,-0.089069,-0.292024,0.475542,-745.482788,-183.583389,1490.630493,-0.376900,1.387121,2.735085,77.653030,-71.974411,1481.068604
19,0,-0.046408,0.062148,-1.426048,-1142.285400,-75.560349,1137.407471,-0.031552,0.032588,1.380520,418.185242,-206.086243,1133.001587,0.120690,-0.245246,-1.594143,-1188.899780,33.277321,1336.264404,0.035911,-0.012854,1.520994,469.277069,-317.923553,1386.924927,-0.016552,0.290179,-1.347999,-1159.885376,-182.834900,1349.695190,0.131508,0.069519,1.514935,489.121704,-132.130829,1401.450684,-0.067630,-0.229846,0.476180,-726.217285,-181.993973,1489.572266,-0.349406,1.340431,2.700983,67.211021,-70.707733,1479.497559
20,0,-0.058485,0.046177,-1.388853,-1143.232422,-75.287209,1137.573364,-0.030315,0.033907,1.381333,418.155548,-206.298508,1133.080078,0.123414,-0.252748,-1.620827,-1189.892090,34.062157,1336.597290,0.018808,-0.039807,1.500489,470.835419,-318.897003,1386.319580,-0.014510,0.300461,-1.338044,-1159.535889,-181.962067,1350.455444,0.141251,0.070642,1.526360,489.386261,-132.395111,1401.247681,-0.061092,-0.169829,0.465358,-708.527893,-180.798431,1487.691040,-0.375401,1.316877,2.672281,57.498917,-69.922424,1477.385620
21,0,-0.073976,0.074277,-1.464370,-1143.463501,-74.865067,1137.610474,-0.030381,0.034414,1.381145,418.122803,-206.509232,1133.159302,0.121181,-0.250606,-1.603629,-1191.406006,34.683575,1337.051025,0.020771,-0.039510,1.506539,471.500031,-319.414398,1386.399048,-0.018590,0.301135,-1.328759,-1159.236572,-181.067398,1351.086670,0.160792,0.098077,1.538528,489.317688,-132.989777,1401.458984,-0.064480,-0.130856,0.438965,-693.060425,-180.632172,1485.777832,-0.399787,1.288302,2.642737,48.383251,-68.964645,1475.006470
22,0,-0.077649,0.073171,-1.445612,-1144.059326,-74.612167,1137.587646,-0.030143,0.035158,1.381101,418.065063,-206.719574,1133.232422,0.117287,-0.249497,-1.586164,-1192.676758,35.155983,1337.226074,0.026469,-0.035027,1.502565,471.787018,-319.800873,1386.716919,-0.042597,0.319571,-1.327562,-1158.289673,-179.740051,1351.689819,0.175010,0.082416,1.548132,489.360016,-133.517822,1401.485718,-0.057661,-0.105267,0.410597,-679.886658,-181.705399,1482.289307,-0.413155,1.261956,2.627043,40.390690,-67.896080,1472.520264
23,0,-0.078318,0.075420,-1.433385,-1144.565308,-74.274834,1137.561890,-0.030000,0.035476,1.380901,418.023071,-206.927460,1133.308960,0.125627,-0.247816,-1.588761,-1194.059814,35.871567,1337.510864,0.023915,-0.042478,1.514723,472.922119,-320.589203,1386.542969,-0.025364,0.316017,-1.320419,-1158.707031,-179.417038,1351.626099,0.173084,0.082909,1.552086,489.319702,-134.178833,1401.742920,-0.035841,-0.062763,0.417714,-668.913269,-181.997101,1479.915161,-0.422394,1.231466,2.612303,33.210964,-66.744041,1469.645630
24,0,-0.082322,0.086259,-1.465259,-1144.730835,-73.818367,1137.552490,-0.029533,0.035672,1.380888,417.959839,-207.177887,1133.397339,0.125284,-0.249313,-1.570449,-1195.296509,36.447189,1337.772705,0.025128,-0.041309,1.522773,473.657684,-321.289734,1386.601074,-0.026985,0.322126,-1.317540,-1158.384644,-178.464096,1352.193970,0.159998,0.077385,1.548255,489.224731,-134.760513,1401.771973,-0.040800,-0.050734,0.399035,-660.528870,-182.539734,1478.194580,-0.458548,1.207093,2.586769,26.754873,-65.263519,1466.505127
25,0,-0.079067,0.075397,-1.430983,-1145.240845,-73.493744,1137.506592,-0.027789,0.037950,1.380069,417.824036,-207.534485,1133.627441,0.120666,-0.258480,-1.550056,-1196.617065,37.119453,1337.982666,0.011581,-0.052744,1.497155,474.642456,-321.829559,1386.508423,-0.030419,0.332198,-1.311188,-1157.841431,-177.166382,1352.912476,0.173055,0.080686,1.556539,489.037903,-135.469360,1402.058838,-0.017000,-0.009128,0.425461,-653.925598,-182.723145,1476.668335,-0.480927,1.165267,2.580392,21.308964,-64.157898,1463.300049
26,0,-0.081148,0.076195,-1.428313,-1145.501465,-72.970238,1137.576294,-0.026685,0.038019,1.379964,417.748932,-207.833725,1133.692383,0.116815,-0.258437,-1.538155,-1197.781860,37.914509,1338.142578,0.031682,-0.041551,1.536997,475.036865,-322.712006,1386.692627,-0.030029,0.333045,-1.302075,-1157.344849,-175.918808,1353.474121,0.163780,0.075323,1.555563,488.739899,-136.268051,1402.213013,-0.027256,0.009655,0.422261,-649.191895,-182.993683,1475.515991,-0.497894,1.162992,2.550947,16.530581,-62.273655,1459.948853
27,0,-0.084871,0.077689,-1.421641,-1145.770142,-72.489983,1137.836548,-0.021459,0.031189,1.383356,417.580139,-208.266998,1133.881958,0.116807,-0.261040,-1.527967,-1198.816772,38.627670,1338.218750,0.033682,-0.037492,1.543405,475.596527,-323.532379,1386.743652,-0.035601,0.341953,-1.295020,-1156.594727,-174.629410,1354.063599,0.144109,0.063545,1.547192,488.308075,-137.495285,1402.752686,-0.013028,0.028501,0.432564,-646.130981,-182.932480,1474.884033,-0.502283,1.139170,2.526779,12.609299,-60.475826,1456.211670
28,0,-0.084391,0.083804,-1.433963,-1146.149292,-71.919594,1137.877197,-0.022521,0.036680,1.383937,417.510254,-208.626709,1133.840332,0.119690,-0.259427,-1.517925,-1199.854370,39.455494,1338.388062,0.032913,-0.040893,1.555088,476.417114,-324.441315,1386.730469,-0.032053,0.342375,-1.292350,-1156.135498,-173.569519,1354.430908,0.165315,0.067426,1.564989,488.158386,-137.797913,1402.563477,-0.023995,0.021928,0.407782,-644.336365,-183.846329,1475.082275,-0.524935,1.159761,2.496050,9.312875,-58.422497,1452.960815
29,0,-0.091015,0.091276,-1.449761,-1146.316650,-71.297050,1137.940186,-0.021041,0.036603,1.386527,417.373230,-209.085556,1133.918945,0.117758,-0.261998,-1.503488,-1200.681885,40.220985,1338.418823,0.039629,-0.035646,1.562290,476.926331,-325.336853,1386.807007,-0.030547,0.330447,-1.289741,-1155.957397,-172.670944,1354.529175,0.176217,0.062577,1.583033,487.516907,-138.559631,1402.738037,-0.020077,0.023488,0.405486,-643.938538,-184.201263,1475.485352,-0.515315,1.155033,2.472994,6.753705,-56.565281,1449.696045
